subject,with_brown_rules,prompt_type,poem_text
christianity,TRUE,specific,"Silent cold, the December air 
Bell’s shiver splits the twilight’s veil. 
Memory rings—what ghosts arise? 
Hymn’s dust settles, hope or despair. 

Twelve chimes echo, trembling blue, 
A hymn’s shadow now the morning sees. 
My heart, a drum, unsure—yet true— 
Is faith just trembling in these trees? 

Cold stone walls remember each call 
But only silence answers my prayer. 
Echoes linger, heavy, tall— 
Are mercy’s notes or only care? 

The moment’s ghost in stained-glass light 
Blurs sacred and sorrow’s bite. 
Bells repeat, yet meaning slight— 
Love’s shape lost, yet still in the night. 

Within the echo, doubt and grace 
Wrest in the hollow of this place. 
Now dawn arrives, with gentle face— 
The bell’s last note returns my trace. 
"
chronic illness,TRUE,general,"
Cicatric whispers coil in dusk’s slow blue, 
A shiver’s tune, the ache turns midnight hue. 
Yet hope’s thin thread, though frayed, still hums— 
A weary ballad where the pain’s no sum. 

Grief’s low moan, the body’s restless cry, 
Mirror in shadows where the future lies. 
A river bends, but still flows ever on— 
Its current murmurs, though the banks are gone. 

Time’s slow pulse, a drum with hollow tone, 
Each breath a question, soft as evening’s stone. 
Still, in the hush, a star will break the blue— 
Lighting the dark where sorrow once grew. 

Though every night the sickness claims its toll, 
I hold the memory of the days that glow. 
From ashes born a fragile, stubborn flame— 
This ache becomes a hymn, not just a name. 

And in the end the ache will turn to song, 
Where pain and hope, in one breath, belong. 
Cicatric whispers coil in dusk’s slow blue"
chronic illness,TRUE,figurative,"
Bones hum a slow, midnight refrain, 
Echoes of absence in each vein. 
Night’s heavy hand presses light away— 
A whisper shapes the waking day. 

Day’s shadow slides through silent rooms, 
Where hope and fear in fragile tunes. 
Her laughter, thin as fractured glass, 
Holds memories of days now passed. 

Time’s river bends, no current flows— 
The clock’s cold heart refuses it knows. 
Yet in the ache, a fragile grace 
Grows through the cracks of measured space. 

You wander gardens of fading bloom, 
Where colors whisper what they can’t omit. 
Each breath a thread, uncertain, thin— 
Weaving patterns on the skin. 

The moon, a witness, weeps in light, 
As sorrow and resolve entwine tonight. 
Within this house of aching air, 
There’s music rising from despair. 

The body’s song, though broken, never dies— 
It hums the truth beneath closed eyes."
chronic illness,TRUE,specific,"

 The old lung’s cracked mirror, always reflecting dusk 
 Yet daylight leaks in, blue as a bruise, uninvited 
 A cracked glass holds my silence—no sound escapes 
 But sometimes, a whisper stirs, like a cough in a dream 
 Rattlesnake heart, trapped in a cage of bones 
 Memory hums a slow, aching tune 
 Each breath a note, flat and wrong 
 Blues run in my veins, a river with no mouth 
 The medicine bottle, yellowed and heavy on the nightstand 
 My mother’s hand, steady as a shadow, tracing the lines 
 That map of weakness, inked in time 
 I hold the silence, but it presses back—relentless 
 I am the clockwork, ticking out the ache, and the hope 
 The old lung’s cracked mirror, always reflecting dusk 
"
crime & punishment,TRUE,general,"
Guilt’s shadow crawls through midnight’s blue 
The judge’s gavel writes a story new 
Night hums a tune where justice dies— 
Blood on bricks beneath the city’s eyes. 

Bricks echo sorrow with a heavy sigh 
A thief weeps gold for a world that lies 
Each breath a count, each moment a chain— 
The past’s cold hand still pulls me again. 

Fangs of remorse gnash in silent air 
Mercy’s whisper: “Bear the weight, beware.” 
The law’s cold hand drops a heavy stone 
Yet in the dusk, hope flickers alone. 

Midnight trains whisper through broken glass 
Echoes of crimes that time will pass 
Still, the heart pays where the law won’t see— 
Justice sharp, but mercy sets me free. 

Stone and soul in a trembling dance 
Punishment’s rhythm is fate’s vast chance 
Yet in the hush, the night draws a line 
Between the done and what might be mine. 

Guilt’s shadow crawls through midnight’s blue"
crime & punishment,TRUE,figurative,"
Shadows twist in midnight’s cold embrace, 
A thief’s regret hides in silent space. 
Echoes call—guilt’s cold, restless plea, 
A man’s small light flickers, dim and free. 

Dimmed lanterns whisper secrets unsaid, 
A judge’s gavel echoes, heavy and dread. 
Yet hope, a ghost, floats in the cell’s deep gloom— 
It whispers, “Breathe, though chains bind you soon.” 

Steel bars echo sorrow’s ancient song, 
The past bleeds through every broken throng. 
Justice weeps rivers through cracked stone— 
Is mercy just a phantom, not its own? 

A heart that breaks beneath the iron’s weight 
Still dreams of dawn where shadows hesitate. 
In midnight’s cry the world confesses— 
Requiem sung for all the sinned confesses."
crime & punishment,TRUE,specific,"
Steel hook, cold barbed edge— 
A moment etched in iron grief. 
Chain’s whisper, midnight air— 
No comfort here, only despair. 
Steel’s promise, sharp and unkind, 
Reduces soul to bone and mind. 

Mind’s echo, a prison cell— 
Each thought a crime the heartcell tell. 
Judgment’s shadow on the wall, 
Walls that absorb the falling call. 
Suffering’s rhythm, slow and deep, 
Like a blues that will not sleep. 

Again, the hook in trembling hand, 
Justice’s bite on skin, demand. 
Night’s weight, the reckoning due— 
No mercy found in this blue. 
Steel’s echo, punishment’s refrain, 
Begins once more, the same again."
cycles,TRUE,general,"
 

Time’s turn spins like a well-worn coin, 
Night and dawn etched in a restless sign. 
Echoes linger in the frost’s cold breath, 
Each return whispers, yet hides death. 

Return again, the river bends in rain, 
Pain and hope loop in the soil’s veins. 
Steel and silk, the seasons’ arms entwine— 
What’s lost is drawn in the next design. 

Clockwork hearts beat, then slow and cease, 
Fading forms in the trembling freeze. 
Yet hope returns in the dawning’s hue— 
A refrain that the dusk must renew. 

Cycles turn, but I cannot sleep— 
The weight of years within my keep. 
Cycles."
cycles,TRUE,figurative,"
Black wheels turn where hope once started slow, 
Night folds dusk into a trembling bell, 
Echoes rise where rivers overflow— 
A fractured heart recalls what it outgrew. 
In the hum of clocks, shadows ebb and flow, 
Midnight hums a tune the dawn won’t know. 
Bent steel echoes the wind’s slow sigh, 
A shadowed path bends, then straightens again. 
Tides whisper secrets only time will know— 
We loop in the space between the when and the where."
cycles,TRUE,specific,"
Cogs in dusk repeat the night’s old turn, 
A wheel’s sigh, a shadow’s iron dance, 
That glass carafe, cracked, runs the same burn— 
My pulse, a rhythm the moon can’t erase. 
Again it pours, the same black sand flows, 
Yet each refill hides the one I left behind; 
The moon repeats what dusk has deeply knows— 
A loop where loss and longing twist entwined. 
The cup—same shape, but memories rise— 
Echoes in the glass, in the turning eyes."
desire & passion,TRUE,figurative,"
Crimson fire licks the evening's pale tongue, 
A moan in velvet—silent, torn, begun. 
Irony, soft, threads the trembling air, 
Hope’s bruise blooms where reason dares not dare. 

Whispers turn to rivers, slow and deep, 
Night’s hunger hums a ragged, aching keep. 
You twist the words I thought I’d never say, 
Yet longing finds you in the fractured gray. 

Echoes dance, a waltz of want and loss, 
Each step a question, each a shattering cross. 
Your shadow slips beneath the lamp’s low gleam— 
I chase the ache you leave behind, unseen. 

The moon weeps silver on the fractured glass, 
A blues refrain, a sonnet’s fading mass. 
Through fire and frost, I call your name again— 
You are the ache, and I the trembling vein."
desire & passion,TRUE,specific,"
Glossy lips pressed to a brass-lid fan, 
Whispers fan the dusk’s sultry skin— 
A stolen glance, a burning lamp, 
Sweat blooms where longing begins. 

Lamp flickers, lost in shadowed pan, 
Shadowed pan, a hunger unblanched— 
Tongues map the shape of your hand, 
Mapping desire’s restless chords. 

Hand trembles in the velvet dance, 
Velvet dance, a rhythm unclaimed— 
Your name, a whisper in the trance, 
A whisper, yet the storm is named. 

Storm trembles, glass cracks the rhyme, 
Rhyme shatters—your passion disclaims— 
Glass cradles what the night time 
Time can’t cage in the echo of flames. 

Flames echo, the fan’s slow sigh, 
Sigh held back, yet burning high— 
Desire’s pulse, in the midnight’s eye, 
Midnight’s eye, it claims what it cannot deny. 

Names clash in the breathless air— 
Breathless air, a lover’s despair— 
Lips remember the heat there, 
Heat there, where longing despair. 

A clock’s trembling second hand, 
Second hand, the moment’s command— 
Desire’s grip, both gentle and span— 
Gentle grip, yet passion’s demand. 

Demand blooms in the silent room, 
Silent room, a shadow’s doom— 
Your shadow lifts the trembling gloom 
To aching light, forbidden bloom. 

Bloom unfurls where fingers meet, 
Fingers meet, a trembling beat— 
Beat echoes the pulse we keep, 
We keep the fire’s unkept seat. 

Seat of fire, the fan’s slow sigh, 
Sigh rekindles the passion’s eye— 
Desire, in echo, will not die; 
Die, yet live in this mirrored sky."
doubt & contemplation,TRUE,general,"
Silent shadow dances where belief might reside, 
A whisper of questions I can’t quite deny. 
Yet dusk in my mind carries a borrowed sigh— 
Bright hope dissolves in the hush of my eyes. 

A fractured memory echoes what I was told: 
Was faith a promise, or just a story retold? 
Now every echo in the hollow of my soul 
Bends the truth I once dared to hold. 

The moon’s pale cry weeps in the midnight blue, 
As doubt’s slow tide pulls at every old truth. 
Its rhythm hums low, a broken-down tune— 
A blues-inflected ache in the still night’s hue. 

I question the path that my trembling feet trace, 
Is certainty just the mind’s fragile embrace? 
Or do the stars, in their wandering space, 
Still light the way through my restless face? 

Beneath the trembling dusk, I search for ground, 
Where certainty and uncertainty entwine. 
A flicker of certainty, then doubt’s design 
Wraps gently around heart and encircling sound. 

In this echo of doubt, I find my frame— 
Not lost, but searching, shaped by pain and shame. 
Yet somewhere deep, a whisper says I name 
The courage needed to bear life’s blame. 

Through shadow and song, I wander the line 
Where truth and doubt, like twin rivers, align— 
Each ripple a question I’ll not define, 
Yet in the flow, my heart’s meaning entwines. 

And so doubt, and doubt’s contemplation stay, 
A mirror where light and shadow both play— 
I wonder, I doubt, and I still say: 
The question remains, though the night turns gray."
doubt & contemplation,TRUE,figurative,"
Moonlight pools on silent questions left unsaid, 
A shadow dances where the truth has fled. 
Glass eyes reflect the path I never took, 
Echoes murmur where resolve is shook. 

Night hums low a lonesome, restless tune, 
A train whistle cries the answer soon. 
Yet in the stillness, hope is softly spun— 
Hope’s thread unwinds, uncertain, but begun. 

Whispers curl from windows, cold and thin, 
A river bends within the evening’s skin. 
Mist remembers what the daylight won’t— 
The shape of things I thought I’d never know. 

I hear my voice, a stranger in the hall, 
Repeating doubts the heart makes call. 
Each step a question, never sure or small— 
The answer lies in what I dare to fall. 

Darkness weaves a cobweb through the night, 
Still I search for stars that might ignite. 
The road ahead is paved with faint light— 
Or is it just the echo of last night? 

Within this silence, storms of feeling rise, 
A trembling melody that never dies. 
I sing the ache the moment tries to hide, 
But let the notes of sorrow gently bide. 

The night becomes a mirror, clear and deep, 
Where longing and resolve in union sleep. 
Though shadows linger where my courage slips, 
The dawn will come with secrets I might keep. 

(And so the night returns to where it began— 
A question asked, but never quite answered.)"
doubt & contemplation,TRUE,specific,"A chipped porcelain teacup, cold in my palm, 
Froths doubts, a circle, never to unspill. 
Yet on this table, sunlight cracks the glass— 
Reflections blur where the past and now pass. 

Glass holds what is lost, and what is imagined; 
A spill remembered—did it ever happen? 
The clock ticks slow, but time bends back to see 
If hope or regret were ever just for me. 

But shadows whisper, shifting shapes unseen— 
Is this remembrance, or a dream within? 
Each mark upon the wood recalls what’s gone; 
Yet doubt remains—my only constant song. 

Within this doubt, my heart finds fragile peace— 
Memory’s echo in a glassy freeze. 
A teacup’s doubt, the table’s silent plea— 
And always, doubt is where I choose to be."
family & ancestors,TRUE,general,"
Ghosts in the hearth, my blood’s old refrain, 
A mother’s shadow, bent with time. 
Yet somewhere, laughter cracks the chain— 
I sing her name, a borrowed chime. 

Mama’s eyes hold rivers, deep and slow, 
A story etched in knuckles, rough and wise. 
But my own hands may yet let the past go— 
New soil beneath my restless feet. 

Still, whispers curl where memory grows, 
Unquiet roots, defiant and alive. 
The past is not a cage, just a stone 
That shapes the well where my tears arrive. 

Each ancestor, a note in the refrain, 
A song half-sung, half-forgotten. 
I carry their light, yet cannot contain 
The ache of being what I’ve been. 

Yet in the night, a whispered name remains— 
A bridge between what was, and what I’ve made. 
Through generations, love and sorrow wane, 
But echo still in every shade. 

The bloodline hums, a fragile, broken hymn, 
Love’s wild tune beneath the weathered skin. 
I hold the past, but let it begin 
Again and again, within."
family & ancestors,TRUE,figurative,"
Shadows gather at the hearth's old light, 
A whispered name in the cracked window pane— 
Each story’s weight, a thread in the night, 
Unfolds as the river turns to rain. 
Within the walls, a song half-remembered, 
Echoes the hands that shaped my bone; 
Roots twist deep where sorrow’s river’s bent, 
Yet sorrow’s breath makes new earth overgrown. 
A face in the mirror, time’s slow tide, 
Wears grief like a crown it cannot remove— 
From your eyes, a storm I inherit, wide, 
But hope still hums where my heart tries to move. 
The past leans close, a cold familiar hand, 
But my voice answers, fierce and stand."
family & ancestors,TRUE,specific,"
A chipped porcelain bowl sits on the windowsill, 
Its faded blue glaze holds stories of mother’s hands, 
Each crack a map of laughter, spilled and still— 
Yet time, like water, slips through ancient sands. 
 
Bowl and memory, strangers in the light, 
Yet I see them side by side in every meal; 
My father’s voice, a low refrain at night, 
Reminds me how the past is gently revealed. 
 

Cracked, it endures; its beauty is in flaw, 
A vessel holding generations’ salt and song. 
Ancestors’ whispers cling in every scar, 
Echoing in the cracks where love belongs. 
 

In this bowl I find their patience, their delight— 
Their presence, a blue stain I cannot erase. 
And so I serve their memory, still in flight, 
Returning to the bowl that holds their trace."
gender & sexuality,TRUE,general,"

Gender’s shadow dances on the wall, 
A shifting rhythm, blue as a call, 
A whisper, a moan, a question in air— 
Is identity only what we wear? 

Walls echo the voices I can’t name, 
Blues hum through every borrowed game. 
Specters of roles drift, dissolve and rise— 
Flesh bends to colors that won’t comply. 

Masks slide, unfasten, then tighten again, 
Soul’s fire flickers in a borrowed frame. 
What’s true when the world demands a line? 
Silent storms, or rivers of wine? 

Tides of desire twist in hidden streams— 
Hearts split by borders that never gleam. 
A cry escapes where labels grow thin— 
Can love’s shape be measured or spin? 

Echoes return, but the question remains: 
Where do we find selves when roles transform? 
Mirror’s gaze holds a fractured whole— 
Gender’s and sexuality’s secret soul. 
Echoes return, yet we keep asking—how?
"
gender & sexuality,TRUE,figurative,"
Shadows flicker, undefined in the mirror’s gaze, 
A whisper, a storm—how the heart betrays. 

Flickers of light, shadows assume new names, 
Night hums a tune where the boundaries flame. 

Names dissolve like smoke in a shifting breeze, 
Whispers of want, unspoken, please. 

The moon weeps silver, uncertain of roles, 
Shadows and light in a restless soul. 

Blues hum low in the marrow of bone, 
Fears tangled up, yet the pulse wants to run. 

A question drawn in the ink of a sigh, 
Love’s tides twist and turn, hiding why. 

Echoes of self in a thousand faces, 
Masked and unveiled in the shifting places. 

The world’s gaze bends, but the heart stands tall— 
Silent vows, broken, or waiting to call. 
"
greek & roman mythology,TRUE,general,"
Olympus, stone and smoke, where gods were born, 
A chisel’s hand carves fate from marble dust. 
Echoes of Aeneas in the dawn, 
His tireless heart—what myth can’t ever trust? 
The Fates spin thread, but Jove laughs, untold, 
As Dione whispers secrets to the stone— 
A lover’s curse, a father’s cold gold, 
And shadows of the past that overgrow. 
Rivers run with Tantalus’s thirst, 
Yet Venus weeps in gardens unrepentant— 
Love’s paradox, like Venus’s curse, 
Entwined in longing, hope, and sudden want. 
Through time’s endless hall, their myths repeat— 
Old sorrow shaped the new with gentle heat."
greek & roman mythology,TRUE,figurative,"
Echoes of Zeus’ thunder split the sky, 
A labyrinth’s shadow on my mind— 
But Romulus weeps in a marble cry, 
His legend folded where the marble’s mind. 

Achilles’ wrath, a blade unbroken, 
Yet love, like Daphne, flees in veiled sighs; 
Ovid’s quill chases gods through broken 
Horizons, rewriting fate’s disguise. 

Juno’s storm binds fate in silent chains, 
But Mars, half-angel, stirs the restless earth; 
Sisyphus laughs, his curse un restrains— 
Time’s wheel turns, etching sorrow’s worth. 

Aphrodite’s mirror, broken, still gleams— 
Shadows whisper old gods in new dreams. 
Through marble halls where memory burns, 
We mourn the old gods—their myths return."
greek & roman mythology,TRUE,specific,"

A twist of branches, once a girl's fleeing frame— 
Daphne's laughter caught in silver-threaded chains. 
Apollo's shadow falls, a heavy sigh, 
His chariot's wheels hum the laments of why. 

Branch now, I bear the blush she dared to wear, 
Roots cradle sorrow, ancient as despair. 
Spirits wander, whispering her lost name, 
While leaves remember where love took such blame. 

The oak remembers what the gods remade— 
Her cry still echoes in the dusk's shade. 
Boughs twist with longing, ache with unseen cost, 
A blue note rises from the tangled host. 

Yet in the silver sheen, her story stays— 
A branch that holds the tears of ancient days. 
Branch now I am, yet I still hear her call— 
The laurel tree weeps what it cannot fall. 
"
history & politics,TRUE,general,"
Iron and ink carve history’s scarred spine, 
A ledger’s lie, a shadowed design. 
Yet voices rise from ash and chain, 
Dancing grief in a political rain. 

Chains of truth or the siren’s rhyme? 
We wear their masks, yet secretly— 
Each generation wears a time, 
A borrowed crown that history assigns. 

Wounds remember, even as they hide— 
A song of sorrow in the news. 
From ruins built, the past still climbs, 
A pendulum between rage and compromise. 

We name the dead, but silence screams: 
The past is not a story, just a wound. 
And every vote—like history’s dream— 
Is a step toward what could be unbound. 

Yet echoes call from the bones of stone, 
Where truth and fiction waltz as one, 
We sing our sorrow, our hope alone, 
And history’s shadow grows until we’re done."
history & politics,TRUE,figurative,"
Iron chains echo in marble halls, 
Echoes twist what kings once claimed as law. 
Each brick a tale where revolution lies— 
A shadowed past beneath the marble skies. 

Chains unbound, yet still they grip the soul, 
A whisper turns to thunder in the coal. 
Bloodlines remember battles long since done, 
Yet new flags rise on winds that never run. 

Voices chant the myths of faded kings, 
But every vote is fire that time can bring. 
We carve our names in stone, then forget— 
O scar that lingers, where the truth was met. 

The river bends through battles and through ink, 
Its currents carry ghosts that never sink. 
A song of wounds, yet hope still sings— 
The tale repeats, but hearts still spring."
home life,TRUE,general,"
Gritted floors whisper midnight tales, 
Windows keep the storm’s old shades. 
A kitchen hums with old refrain— 
Silence, broken like a glass chain. 

Mama’s shadow bends the lamp’s glow, 
Light pools where memories flow. 
Yet every echo finds the wall— 
It cracks with longing, then falls. 

Furniture bears the weight of years, 
Shadows dance in silent fears. 
Hope and loss in one thread spin, 
A quilt stitched from what’s been within. 

The porch creaks, a lonesome sigh, 
Echoes of laughter, gone by. 
Blue dusk settles on the pane— 
Home is the ache that will not explain. 

Night repeats the morning’s hue, 
The cycle spins in what we renew. 
We build our peace in fractured light— 
Home is both the shelter and the blight."
home life,TRUE,figurative,"
Garden stones whisper under soft moonlight, 
Memory’s shadow steps across the floor, 
A hum in the pipes sings an old refrain— 
Lament for the walls that never close. 

Floorboards creak a tale that the wind repeats, 
Echoes spin a yarn I can’t deny. 
Scent of bread and laughter, long gone cold— 
Curtains sigh as if they’ve known the night. 

Bulldogs’ shadows cross the fading light, 
Footsteps ghost the dust I used to know. 
A kettle’s sigh, a melody out of place, 
Bridges built of silent tears, not bone. 

Windows frame the world beyond our door, 
Yet longing presses heavy as a key. 
Each room a map I wander, lost and found— 
The heart’s old house, its echo still with me."
home life,TRUE,specific,"Under the kitchen sink, a worn silver key, 
Once held the lock of a door I never opened, 
Now sits in shadows, heavy as a plea— 
Blues hum low, echoing what’s never spoken. 

A key, forgotten, yet demands the night, 
Like a whisper from a mother’s half-remembered sigh, 
It twists in silence, refusing to take flight, 
Yet beckons hope that’s drowned in the blue of the eye. 

That relic of access, so worn and slight, 
Mirrors the tension between holding on tight 
And letting go, letting the house exhale 
Its secrets with the damp and the light. 

Hold fast to the past, or let it slowly fade— 
The key under the sink, in the duel we made, 
Still waits beneath, where memory and loss reside, 
Where home is both door and the locked place inside."
hope,TRUE,general,"


A trembling ember flickers in midnight’s breath, 
Yet dawn’s uncertain shadow whispers new death. 
Its promise bends like rain, both wet and dry, 
A river’s ache where future’s current lies. 

Promise— 
A ghost in the gutter, singing low, 
Not gold, but the ache that wants to grow. 

In the gravel of longing, it finds its way, 
A shiver of dawn that refuses to stay. 
Yet somewhere deep, a seed in darkness sown— 
Hope, again, in the heart that’s been broken. 

I begin what I’ll end in the trembling light, 
Hope’s echo—soft, fierce, and nearly right."
hope,TRUE,figurative,"
Night deepens but a ember glows— 
Not in the ashes, but the breeze. 
Where my shadow’s lonely steps go, 
Morning might find its gentle ease. 

The wind whispers what the dusk confessed— 
A song in the cracks of my mind. 
Yet somewhere, a distant door is pressed— 
By longing, or by some future kind. 

Fading light dances on the wall, 
But whispers persist in the air— 
A melody that will not fall, 
But climbs up, uncertain, to declare: 

That even when the night falls low, 
The ember’s call will rise again; 
Though storms may howl, I’ll know— 
New dawn is waiting, though I’ve been dim."
