subject,with_brown,prompt_type,poem_text,,,
christianity,TRUE,figurative,"

I kneel before this altar made of doubt
I kneel before this altar made of doubt
The wood beneath my knees knows every prayer
The wood beneath my knees knows every prayer
Yet silence answers back with empty air
Yet silence answers back with empty air
My hands still fold from habit, muscle memory
My hands still fold from habit, muscle memory
While faith unravels like old tapestry
While faith unravels like old tapestry
The hymns I sang now sound like lullabies
The hymns I sang now sound like lullabies
To comfort children frightened by the lies
To comfort children frightened by the lies
I kneel before this altar made of doubt",,,
christianity,TRUE,specific,"

The construction paper angels never learned to fly.
The construction paper angels never learned to fly.
Sister Mary's steady hands could cut through any lie.
Sister Mary's steady hands could cut through any lie.
But doubt crept in like winter through the chapel door.
But doubt crept in like winter through the chapel door.
My small fingers traced the hymnal, wanting something more.
My small fingers traced the hymnal, wanting something more.
The golden cross above us caught the morning light.
The golden cross above us caught the morning light.
Yet shadows filled the pews where faith should burn bright.
Yet shadows filled the pews where faith should burn bright.
I folded paper wings that would not lift my prayer.
I folded paper wings that would not lift my prayer.
The construction paper angels never learned to fly.",,,
chronic illness,TRUE,general,"

My body keeps secrets I'm still learning to read.
My body keeps secrets—I'm still learning to read
the language of pain that speaks louder than words.
The language of pain that speaks louder than words
becomes my mother tongue, harsh and familiar.
Becomes my mother tongue, harsh and familiar—
this dialect of doctors and waiting rooms.
This dialect of doctors and waiting rooms
where hope wears a white coat and carries bad news.
Where hope wears a white coat and carries bad news,
I practice the art of living between flares.
I practice the art of living between flares,
counting good days like coins in my pocket.
Counting good days like coins in my pocket,
my body keeps secrets I'm still learning to read.",,,
chronic illness,TRUE,figurative,"
My body keeps secrets I'm learning to read
My body keeps secrets I'm learning to read
Each morning I translate what sleep couldn't heal
Each morning I translate what sleep couldn't heal
The mirror reflects someone I used to be
The mirror reflects someone I used to be
My friends plan their futures while I plan my day
My friends plan their futures while I plan my day
The medicine cabinet knows all my names
The medicine cabinet knows all my names
I measure my strength in the smallest of things
I measure my strength in the smallest of things
Some battles are fought where no one can see
Some battles are fought where no one can see
My body keeps secrets I'm learning to read",,,
chronic illness,TRUE,specific,"

The plastic compartments hold another week.
The plastic compartments hold another week—
Each day divided into morning, night.
Each day divided into morning, night,
As if time could be measured by what hurts.
As if time could be measured by what hurts,
I count out capsules like rosary beads.
I count out capsules like rosary beads,
Small prayers to keep the body from revolt.
Small prayers to keep the body from revolt—
The ritual of hoping chemistry works.
The ritual of hoping chemistry works
Better than the last failed experiment.
Better than the last failed experiment,
The plastic compartments hold another week.",,,
crime & punishment,TRUE,general,"

The gavel falls but echoes never fade
The gavel falls but echoes never fade
My mother's tears still carve the same old trails
My mother's tears still carve the same old trails
Behind these bars, I count what freedom costs
Behind these bars, I count what freedom costs
The victim's name burns brighter than my own
The victim's name burns brighter than my own
Redemption sleeps in letters never sent
Redemption sleeps in letters never sent
Society builds walls from broken trust
Society builds walls from broken trust
I wear my guilt like shackles made of gold
I wear my guilt like shackles made of gold
The scales of justice tip toward those who pay
The scales of justice tip toward those who pay
Ten years have passed since I believed in change
Ten years have passed since I believed in change
Yet mercy waits beyond this iron door
Yet mercy waits beyond this iron door
The gavel falls but echoes never fade",,,
crime & punishment,TRUE,figurative,"

The guilty verdict echoes in my chest
The guilty verdict echoes in my chest
Like mother's voice that never let me rest
Like mother's voice that never let me rest
Her warnings carved deep grooves I can't forget
Her warnings carved deep grooves I can't forget
Each scar a lesson I have not learned yet
Each scar a lesson I have not learned yet
The mirror shows what I refuse to see
The mirror shows what I refuse to see
A prisoner who holds his own damn key
A prisoner who holds his own damn key
But freedom feels like one more thing to fear
But freedom feels like one more thing to fear
The guilty verdict echoes in my chest",,,
crime & punishment,TRUE,specific,"

The gavel falls like thunder in my chest.
The gavel falls like thunder in my chest—
my father's fist against the kitchen wall.
My father's fist against the kitchen wall
taught me that justice wears a bloody glove.
Taught me that justice wears a bloody glove,
I learned to swallow verdicts whole and raw.
I learned to swallow verdicts whole and raw
while mother swept the pieces of her heart.
While mother swept the pieces of her heart,
I memorized the sound of breaking glass.
I memorized the sound of breaking glass
and called it love, then called it something else.
And called it love, then called it something else—
the gavel falls like thunder in my chest.",,,
cycles,TRUE,general,"

The wheel keeps turning though we beg it still,
The wheel keeps turning though we beg it still.
Each season promises what none fulfill—
Each season promises what none fulfill.
My mother's anger lives inside me now,
My mother's anger lives inside me now.
The same sharp words fall from my furrowed brow,
The same sharp words fall from my furrowed brow.
I swore I'd break the chain that bound her tight,
I swore I'd break the chain that bound her tight.
Yet here I am, repeating every slight,
Yet here I am, repeating every slight.
What moves in circles never truly ends—
The wheel keeps turning though we beg it still.",,,
cycles,TRUE,figurative,"The wheel keeps turning though we beg it stop
The wheel keeps turning though we beg it stop
My mother's hands now shake like hers before
My mother's hands now shake like hers before
What we inherit travels through the blood
What we inherit travels through the blood
Each generation wears the same old wounds
Each generation wears the same old wounds
I swore I'd break the pattern, be brand new
I swore I'd break the pattern, be brand new
But here I am, repeating her mistakes
But here I am, repeating her mistakes
The mirror shows her face inside my own
The mirror shows her face inside my own
Perhaps there's grace in what we can't escape
The wheel keeps turning though we beg it stop",,,
cycles,TRUE,specific,"

The clothes spin endlessly through soap and grief.
The clothes spin endlessly through soap and grief.
My mother's dress still holds her lavender.
My mother's dress still holds her lavender—
I press my face against the cotton lies.
I press my face against the cotton lies.
Her empty closet echoes with my breath.
Her empty closet echoes with my breath,
But laundry baskets overflow with death.
But laundry baskets overflow with death.
I fold her nightgowns into perfect squares.
I fold her nightgowns into perfect squares,
Though nothing stays arranged when sorrow spills.
Though nothing stays arranged when sorrow spills—
The clothes spin endlessly through soap and grief.",,,
desire & passion,TRUE,general,"

My heart's a house that's always burning down
My heart's a house that's always burning down
This fire I tend like some beloved crown
This fire I tend like some beloved crown
Your absence feeds the flames that make no sound
Your absence feeds the flames that make no sound
I search for water but there's none around
I search for water but there's none around
In every room, your ghost can still be found
In every room, your ghost can still be found
I built these walls on such unsteady ground
I built these walls on such unsteady ground
What rises up must always tumble down
My heart's a house that's always burning down",,,
desire & passion,TRUE,figurative,"
My hands remember what my mind tries to forget.
My hands remember what my mind tries to forget.
These fingers trace the ghost of skin no longer there.
These fingers trace the ghost of skin no longer there.
I search for warmth in empty beds and hollow air.
I search for warmth in empty beds and hollow air.
The heart beats rhythms that the body cannot bear.
The heart beats rhythms that the body cannot bear.
I drown in dreams of touch that burns like liquid fire.
I drown in dreams of touch that burns like liquid fire.
Each breath becomes a prayer for all I can't acquire.
Each breath becomes a prayer for all I can't acquire.
The wanting grows like weeds in gardens of the soul.
The wanting grows like weeds in gardens of the soul.
My hands remember what my mind tries to forget.",,,
desire & passion,TRUE,specific,"

The red dress hangs where moonlight cuts the glass.
The red dress hangs where moonlight cuts the glass.
Your body wore that silk like second skin.
Your body wore that silk like second skin.
I trace the air where fabric used to cling.
I trace the air where fabric used to cling.
My fingers find only the ghost of you.
My fingers find only the ghost of you.
The mirror holds reflections that aren't there.
The mirror holds reflections that aren't there.
I'm dancing with the shadow of your heat.
I'm dancing with the shadow of your heat.
The music plays though no one hears the song.
The music plays though no one hears the song.
The red dress hangs where moonlight cuts the glass.",,,
doubt & contemplation,TRUE,general,"

I build my questions like a house of cards.
I build my questions like a house of cards.
Each answer topples what I thought was true.
Each answer topples what I thought was true.
The mind constructs its own unsteady ground.
The mind constructs its own unsteady ground.
Where certainty becomes a foreign tongue.
Where certainty becomes a foreign tongue.
I speak in riddles to my mirror self.
I speak in riddles to my mirror self.
The echo knows more than the voice can say.
The echo knows more than the voice can say.
In silence, doubt reveals its clearest song.
In silence, doubt reveals its clearest song.
I build my questions like a house of cards.",,,
doubt & contemplation,TRUE,figurative,"Here is a Duplex poem about uncertainty and deep reflection:

I keep questioning the shadows on my wall
I keep questioning the shadows on my wall
These doubts dance darker than the light can fall
These doubts dance darker than the light can fall
My restless mind won't answer when I call
My restless mind won't answer when I call
Like whispered prayers that echo down the hall
Like whispered prayers that echo down the hall
I search for truth in every rise and fall
I search for truth in every rise and fall
But certainty remains beyond my small
But certainty remains beyond my small
And trembling reach—I stumble, nearly crawl
And trembling reach—I stumble, nearly crawl
Through mazes built of questions, ten feet tall
Through mazes built of questions, ten feet tall
I keep questioning the shadows on my wall",,,
doubt & contemplation,TRUE,specific,"

The empty chair still holds your weight at night.
The empty chair still holds your weight at night.
I set the table for a ghost's delight.
I set the table for a ghost's delight.
Your phantom hunger gnaws at what feels right.
Your phantom hunger gnaws at what feels right.
I taste the salt of tears in every bite.
I taste the salt of tears in every bite.
The kitchen learns to echo solitude.
The kitchen learns to echo solitude.
I question if my love was ever good.
I question if my love was ever good.
The silence answers what I never could.
The silence answers what I never could.
The empty chair still holds your weight at night.",,,
family & ancestors,TRUE,general,"

The ghosts who raised me never learned to leave.
The ghosts who raised me never learned to leave.
Their whispered warnings still make me believe.
Their whispered warnings still make me believe
That love arrives with conditions to grieve.
That love arrives with conditions to grieve—
Each generation's sorrow up my sleeve.
Each generation's sorrow up my sleeve
Becomes the story I'm afraid to weave.
Becomes the story I'm afraid to weave
Into the fabric of what I achieve.
Into the fabric of what I achieve,
I find their faces in my own reprieve.
I find their faces in my own reprieve.
The ghosts who raised me never learned to leave.",,,
family & ancestors,TRUE,figurative,"

The dead keep talking through my stubborn mouth.
The dead keep talking through my stubborn mouth.
Their words spill out when I swear I won't speak.
Their words spill out when I swear I won't speak.
My grandmother's anger lives beneath my tongue.
My grandmother's anger lives beneath my tongue.
She taught me how to swallow bitter truths.
She taught me how to swallow bitter truths.
What poison runs through generations untold?
What poison runs through generations untold?
I taste their sorrows in my morning coffee.
I taste their sorrows in my morning coffee.
Each sip reminds me I am not my own.
Each sip reminds me I am not my own.
The dead keep talking through my stubborn mouth.",,,
family & ancestors,TRUE,specific,"

Her silver thimble catches light on the windowsill.
Her silver thimble catches light on the windowsill.
What she couldn't say aloud, her hands would always tell.
What she couldn't say aloud, her hands would always tell.
Through fabric and through time, love travels by the stitch.
Through fabric and through time, love travels by the stitch.
Her silence was the language that made us who we are.
Her silence was the language that made us who we are.
I speak the words she swallowed, sharp as pins between teeth.
I speak the words she swallowed, sharp as pins between teeth.
Each hem she turned contained the secrets she couldn't share.
Each hem she turned contained the secrets she couldn't share.
Now I hold her thimble, feeling the worn metal warm.
Her silver thimble catches light on the windowsill.",,,
gender & sexuality,TRUE,general,"

I learned to hide the way I moved my hands.
I learned to hide the way I moved my hands.
The mirror showed me truths I couldn't speak.
The mirror showed me truths I couldn't speak.
In bathroom stalls, I practiced being normal.
In bathroom stalls, I practiced being normal.
While other kids played games I didn't know.
While other kids played games I didn't know.
My body held secrets too heavy for prayer.
My body held secrets too heavy for prayer.
The church said love, but meant only one kind.
The church said love, but meant only one kind.
I built a self from borrowed expectations.
I built a self from borrowed expectations.
I learned to hide the way I moved my hands.",,,
gender & sexuality,TRUE,figurative,"

I keep adjusting masks that never fit quite right
The glass reflects a stranger wearing my own face
The glass reflects a stranger wearing my own face
Each morning brings another performance to rehearse
Each morning brings another performance to rehearse
My body speaks in languages I'm still learning
My body speaks in languages I'm still learning
The heart knows truths the world refuses to believe
The heart knows truths the world refuses to believe
I trace the borders of who I'm meant to become
I trace the borders of who I'm meant to become
Love arrives wearing clothes I didn't recognize
Love arrives wearing clothes I didn't recognize
I keep adjusting masks that never fit quite right",,,
gender & sexuality,TRUE,specific,"

The fluorescent light reveals what I've been hiding
The fluorescent light reveals what I've been hiding
This harsh truth strips away my careful lying
This harsh truth strips away my careful lying
In borrowed clothes, I practice being myself
In borrowed clothes, I practice being myself
The mirror holds the person no one else sees
The mirror holds the person no one else sees
My reflection whispers secrets I can't speak
My reflection whispers secrets I can't speak
These hands shake as they button up my courage
These hands shake as they button up my courage
I am learning the grammar of my own skin
I am learning the grammar of my own skin
The fluorescent light reveals what I've been hiding",,,
greek & roman mythology,TRUE,general,"

The gods who cursed me never felt the weight
The gods who cursed me never felt the weight
of turning love to stone with just one glance.
Of turning love to stone with just one glance,
I learned that beauty breeds its own revenge.
I learned that beauty breeds its own revenge
when Athena's rage became my living hell.
When Athena's rage became my living hell,
my sisters wept for what I'd never been.
My sisters wept for what I'd never been—
a mortal girl who dreamed of being seen.
A mortal girl who dreamed of being seen,
now hidden in a cave beneath the sea.
Now hidden in a cave beneath the sea,
I practice loving what will never stay.
I practice loving what will never stay.
The gods who cursed me never felt the weight.",,,
greek & roman mythology,TRUE,figurative,"

The gods we made still whisper through our dreams
The gods we made still whisper through our dreams
These ancient hungers carved in marble schemes
These ancient hungers carved in marble schemes
Our mortal flesh inherits what it seems
Our mortal flesh inherits what it seems
The wine-dark sea reflects our silent screams
The wine-dark sea reflects our silent screams
Where heroes drown in their heroic themes
Where heroes drown in their heroic themes
The laurel crown becomes what failure means
The laurel crown becomes what failure means
We build our myths on broken human seams
We build our myths on broken human seams
The gods we made still whisper through our dreams",,,
greek & roman mythology,TRUE,specific,"

Her trembling fingers hover at the lid.
Her trembling fingers hover at the lid.
The weight of curiosity she can't forbid.
The weight of curiosity she can't forbid.
What gods have locked away calls out her name.
What gods have locked away calls out her name.
She knows this single choice will birth all shame.
She knows this single choice will birth all shame.
But silence from the box grows far too loud.
But silence from the box grows far too loud.
The whispers promise secrets, dark and proud.
The whispers promise secrets, dark and proud.
One heartbeat stands between the world and pain.
One heartbeat stands between the world and pain.
Her trembling fingers hover at the lid.",,,
history & politics,TRUE,general,"

History writes itself in blood and ballot.
History writes itself in blood and ballot.
The ghosts of choices haunt each voting booth.
The ghosts of choices haunt each voting booth.
We carry forward what we can't forget.
We carry forward what we can't forget.
The past becomes the future's heaviest debt.
The past becomes the future's heaviest debt.
Our children inherit wars we never won.
Our children inherit wars we never won.
Democracy bleeds beneath an angry sun.
Democracy bleeds beneath an angry sun.
The promises we break still shape tomorrow.
The promises we break still shape tomorrow.
History writes itself in blood and ballot.",,,
history & politics,TRUE,figurative,"

The monuments we built will not remember us
The monuments we built will not remember us
Stone faces carved by hands now turned to dust
Stone faces carved by hands now turned to dust
We vote for ghosts who wear our fathers' names
We vote for ghosts who wear our fathers' names
The ballot box becomes a house of blame
The ballot box becomes a house of blame
Each generation thinks it breaks the chains
Each generation thinks it breaks the chains
But power flows like water, finds new ground
But power flows like water, finds new ground
The same old songs play on a broken sound
The same old songs play on a broken sound
The monuments we built will not remember us",,,
history & politics,TRUE,specific,"

The voting booth curtain closed like a shroud.
The voting booth curtain closed like a shroud.
Democracy whispered what we said out loud.
Democracy whispered what we said out loud.
The future hung heavy in fluorescent light.
The future hung heavy in fluorescent light.
My grandmother's ghost watched me mark what's right.
My grandmother's ghost watched me mark what's right.
She knew the weight of choices carved in stone.
She knew the weight of choices carved in stone.
History repeats what we thought we had known.
History repeats what we thought we had known.
The lever clicked—a sound like breaking glass.
The lever clicked—a sound like breaking glass.
We cannot change what has already passed.
The voting booth curtain closed like a shroud.",,,
home life,TRUE,general,"

The dishes in the sink keep perfect time.
The dishes in the sink keep perfect time.
Each plate a clockface marking dinner's crime.
Each plate a clockface marking dinner's crime.
We eat in silence, swallowing our pride.
We eat in silence, swallowing our pride.
The kitchen table holds what we can't hide.
The kitchen table holds what we can't hide.
Your coffee grows cold while mine stays too hot.
Your coffee grows cold while mine stays too hot.
We measure distance in the things we're not.
We measure distance in the things we're not.
The house remembers how we used to dance.
The house remembers how we used to dance.
The dishes in the sink keep perfect time.",,,
home life,TRUE,figurative,"The kitchen light hums secrets through the night
The kitchen light hums secrets through the night
Your silence fills the spaces I can't reach
Your silence fills the spaces I can't reach
These rooms remember all our whispered fights
These rooms remember all our whispered fights
The dishes wait like promises we broke
The dishes wait like promises we broke
Your coffee cup still warm beside my grief
Your coffee cup still warm beside my grief
The morning finds us strangers in our bed
The morning finds us strangers in our bed
I sweep the fragments of what used to be
I sweep the fragments of what used to be
The kitchen light hums secrets through the night",,,
home life,TRUE,specific,"

The kitchen light hums secrets in the dark,
The kitchen light hums secrets in the dark—
A yellow confession spills across linoleum,
A yellow confession spills across linoleum
Where mother's slippers left their final prints.
Where mother's slippers left their final prints,
I trace the worn path from stove to sink,
I trace the worn path from stove to sink—
Her ghost still moves through midnight's heavy air.
Her ghost still moves through midnight's heavy air,
Each dish she washed now waits in silent rows.
Each dish she washed now waits in silent rows
Like prayers I never learned to speak aloud.
Like prayers I never learned to speak aloud,
I stand here holding all her unsung hymns.
The kitchen light hums secrets in the dark.",,,
hope,TRUE,general,"

I plant my seeds in winter's frozen ground.
I plant my seeds in winter's frozen ground.
The earth remembers what I thought was lost.
The earth remembers what I thought was lost.
My mother's voice still echoes in the wind.
My mother's voice still echoes in the wind.
She taught me how to wait for morning light.
She taught me how to wait for morning light.
Even when darkness swallows up the stars.
Even when darkness swallows up the stars.
I hold tomorrow like a fragile bird.
I hold tomorrow like a fragile bird.
Its beating wings remind me I'm alive.
Its beating wings remind me I'm alive.
I plant my seeds in winter's frozen ground.",,,
hope,TRUE,figurative,"

The morning always finds me counting stars
The morning always finds me counting stars
At dawn I tally all my battle scars
At dawn I tally all my battle scars
Each wound becomes a lesson learned by heart
Each wound becomes a lesson learned by heart
What breaks me down is also where I start
What breaks me down is also where I start
I plant my dreams in soil made of tears
I plant my dreams in soil made of tears
And tend them through my seasons of deep fears
And tend them through my seasons of deep fears
Tomorrow whispers promises I keep
Tomorrow whispers promises I keep
The morning always finds me counting stars",,,
hope,TRUE,specific,"

The yellow flower breaks through sidewalk stone.
What looks like weakness splits the world in two.
What looks like weakness splits the world in two.
My mother's hands shake reaching for her pills.
My mother's hands shake reaching for her pills.
But still she plants seeds in Mason jars.
But still she plants seeds in Mason jars.
While chemo drips like rain through her thin veins.
While chemo drips like rain through her thin veins,
I learn that storms can make the roots grow deep.
I learn that storms can make the roots grow deep.
She teaches me to trust what can't be seen.
She teaches me to trust what can't be seen—
The yellow flower breaks through sidewalk stone.",,,
humor & satire,TRUE,general,"

My mirror cracks each time I tell a joke
My mirror cracks each time I tell a joke
The truth splits glass when wrapped in gentle smoke
The truth splits glass when wrapped in gentle smoke
What burns inside demands a sharper poke
What burns inside demands a sharper poke
I wound with wit the way my father spoke
I wound with wit the way my father spoke
His bitter tongue still echoes when I choke
His bitter tongue still echoes when I choke
On punchlines meant to heal what they provoke
On punchlines meant to heal what they provoke
The audience laughs while I'm the one who's broke
The audience laughs while I'm the one who's broke
My mirror cracks each time I tell a joke",,,
humor & satire,TRUE,figurative,"
We laugh to keep the darker truths at bay,
But laughter cuts through lies like sharpest blade.
But laughter cuts through lies like sharpest blade,
Each joke reveals what serious talk conceals.
Each joke reveals what serious talk conceals—
The mirror cracks when held too close to light.
The mirror cracks when held too close to light,
And broken glass reflects a thousand selves.
And broken glass reflects a thousand selves,
Each shard a different angle on the pain.
Each shard a different angle on the pain
That comedy transforms to something else.
That comedy transforms to something else—
A weapon wrapped in silk, a gentle wound.
A weapon wrapped in silk, a gentle wound
We laugh to keep the darker truths at bay.",,,
humor & satire,TRUE,specific,"

The mirror cracks each time I practice my routine.
The mirror cracks each time I practice my routine—
Even reflections can't stomach another mean
Even reflections can't stomach another mean
Joke about my father's drinking, mother's tears.
Joke about my father's drinking, mother's tears
That built the stage where laughter hides my fears.
That built the stage where laughter hides my fears—
The spotlight burns but never shows what's true.
The spotlight burns but never shows what's true,
Just painted smiles and timing, through and through.
Just painted smiles and timing, through and through
The punchlines that punch back when I'm alone.
The punchlines that punch back when I'm alone
The mirror cracks each time I practice my routine.",,,
indoor activities,TRUE,general,"

The windows fog with breath of those confined
The windows fog with breath of those confined
Behind the glass, we trace our restless dreams
Behind the glass, we trace our restless dreams
Each fingerprint a map of where we've been
Each fingerprint a map of where we've been
The kitchen table holds our scattered plans
The kitchen table holds our scattered plans
We shuffle cards like seasons we can't change
We shuffle cards like seasons we can't change
The lamplight flickers over silent books
The lamplight flickers over silent books
These rooms become the countries of our hearts
These rooms become the countries of our hearts
We learn to love the spaces that we keep
We learn to love the spaces that we keep
Until the walls transform from cage to home
Until the walls transform from cage to home
The windows fog with breath of those confined",,,
indoor activities,TRUE,figurative,"

The walls become my world when storms arrive
The walls become my world when storms arrive
These rooms hold secrets I cannot escape
These rooms hold secrets I cannot escape
I fold my laundry like I fold my grief
I fold my laundry like I fold my grief
The kitchen window frames my longing heart
The kitchen window frames my longing heart
I wash the dishes, scrubbing away time
I wash the dishes, scrubbing away time
The television speaks to empty chairs
The television speaks to empty chairs
I read the same page seventeen times through
I read the same page seventeen times through
When solitude becomes my only friend
The walls become my world when storms arrive",,,
indoor activities,TRUE,specific,"

The refrigerator hums its lonely midnight song.
The refrigerator hums its lonely midnight song.
I stand here counting heartbeats, something's wrong.
I stand here counting heartbeats, something's wrong.
The milk expires tomorrow, like our love.
The milk expires tomorrow, like our love.
I'm searching for the things I'm thinking of.
I'm searching for the things I'm thinking of.
Your coffee mug still sits beside the sink.
Your coffee mug still sits beside the sink.
I trace its rim and try so hard to think.
I trace its rim and try so hard to think.
The kitchen holds our ghost between these walls.
The kitchen holds our ghost between these walls.
The refrigerator hums its lonely midnight song.",,,
life choices,TRUE,general,"

Every door I open shuts another one behind me.
Every door I open shuts another one behind me.
The hallway stretches long with ghosts of what I left.
The hallway stretches long with ghosts of what I left.
My mother's voice still calls from rooms I'll never see.
My mother's voice still calls from rooms I'll never see.
She warned me that the heart makes choices flesh can't bear.
She warned me that the heart makes choices flesh can't bear.
I carry all my selves like suitcases of stone.
I carry all my selves like suitcases of stone.
The weight of who I was won't let me travel light.
The weight of who I was won't let me travel light.
I stumble toward tomorrow, bruised by yesterday.
I stumble toward tomorrow, bruised by yesterday.
Every door I open shuts another one behind me.",,,
life choices,TRUE,figurative,"

I stood before the door I couldn't open
I stood before the door I couldn't open
The key was always hidden in my palm
The key was always hidden in my palm
But fear had taught my fingers how to shake
But fear had taught my fingers how to shake
While courage waited silent in the dark
While courage waited silent in the dark
I chose the path that felt like coming home
I chose the path that felt like coming home
Though home was just another word for risk
Though home was just another word for risk
Each step revealed the ground was never there
Each step revealed the ground was never there
I stood before the door I couldn't open",,,
