poem_title,poem_text,author,form
Unstable Dream,"Unstable dream, according to the place,
Be steadfast once, or else at least be true.
By tasted sweetness make me not to rue
The sudden loss of thy false feignèd grace.
By good respect in such a dangerous case
Thou broughtest not her into this tossing mew
But madest my sprite live, my care to renew,
My body in tempest her succour to embrace.
The body dead, the sprite had his desire,
Painless was th'one, th'other in delight.
Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain.",Sir Thomas Wyatt,sonnet
Stand Whoso List,"Stand whoso list upon the slipper top 
   Of court’s estates, and let me here rejoice; 
And use me quiet without let or stop, 
   Unknown in court, that hath such brackish joys: 
      In hidden place, so let my days forth pass, 
   That when my years be done, withouten noise, 
      I may die agèd after the common trace, 
For him death gripeth right hard by the crope 
   That is much known of other; and of himself alas, 
   Doth die unknown, dazed with dreadful face.",Sir Thomas Wyatt,sonnet
I Abide and Abide and Better Abide,"I abide and abide and better abide, 
And after the old proverb, the happy day; 
And ever my lady to me doth say, 
""Let me alone and I will provide."" 
I abide and abide and tarry the tide, 
And with abiding speed well ye may. 
Thus do I abide I wot alway, 
Nother obtaining nor yet denied. 
Ay me! this long abiding 
Seemeth to me, as who sayeth, 
A prolonging of a dying death, 
Or a refusing of a desir'd thing. 
Much were it better for to be plain 
Than to say ""abide"" and yet shall not obtain.",Sir Thomas Wyatt,sonnet
Amoretti III: The Sovereign Beauty,"The sovereign beauty which I do admire,
Witness the world how worthy to be praised:
The light whereof hath kindled heavenly fire
In my frail spirit, by her from baseness raised;
That being now with her huge brightness dazed,
Base thing I can no more endure to view;
But looking still on her, I stand amazed
At wondrous sight of so celestial hue.
So when my tongue would speak her praises due,
It stopped is with thought's astonishment:
And when my pen would write her titles true,
It ravish'd is with fancy's wonderment:
Yet in my heart I then both speak and write
The wonder that my wit cannot endite.",Edmund Spenser,sonnet
Amoretti XXII: This Holy Season,"This holy season, fit to fast and pray,
Men to devotion ought to be inclin'd:
Therefore I likewise on so holy day,
For my sweet saint some service fit will find.
Her temple fair is built within my mind,
In which her glorious image placed is,
On which my thoughts do day and night attend,
Like sacred priests that never think amiss.
There I to her as th' author of my bliss,
Will build an altar to appease her ire:
And on the same my heart will sacrifice,
Burning in flames of pure and chaste desire:
The which vouchsafe, O goddess, to accept,
Amongst thy dearest relics to be kept.",Edmund Spenser,sonnet
Amoretti LXVII: Like as a Huntsman,"Like as a huntsman after weary chase,
Seeing the game from him escap'd away,
Sits down to rest him in some shady place,
With panting hounds beguiled of their prey:
So after long pursuit and vain assay,
When I all weary had the chase forsook,
The gentle deer return'd the self-same way,
Thinking to quench her thirst at the next brook.
There she beholding me with milder look,
Sought not to fly, but fearless still did bide:
Till I in hand her yet half trembling took,
And with her own goodwill her firmly tied.
Strange thing, me seem'd, to see a beast so wild,
So goodly won, with her own will beguil'd.",Edmund Spenser,sonnet
Amoretti LXVIII: Most Glorious Lord of Life,"Most glorious Lord of life, that on this day,
Didst make thy triumph over death and sin:
And having harrow'd hell, didst bring away
Captivity thence captive, us to win:
This joyous day, dear Lord, with joy begin,
And grant that we for whom thou diddest die,
Being with thy dear blood clean wash'd from sin,
May live for ever in felicity.
And that thy love we weighing worthily,
May likewise love thee for the same again:
And for thy sake, that all like dear didst buy,
With love may one another entertain.
So let us love, dear love, like as we ought,
Love is the lesson which the Lord us taught.",Edmund Spenser,sonnet
Amoretti LXXIV: Most Happy Letters,"Most happy letters, fram'd by skilful trade,
With which that happy name was first design'd:
The which three times thrice happy hath me made,
With gifts of body, fortune, and of mind.
The first my being to me gave by kind,
From mother's womb deriv'd by due descent,
The second is my sovereign Queen most kind,
That honour and large richesse to me lent.
The third my love, my life's last ornament,
By whom my spirit out of dust was raised:
To speak her praise and glory excellent,
Of all alive most worthy to be praised.
Ye three Elizabeths for ever live,
That three such graces did unto me give.",Edmund Spenser,sonnet
Amoretti LXXV: One Day I Wrote her Name,"One day I wrote her name upon the strand,
But came the waves and washed it away:
Again I wrote it with a second hand,
But came the tide, and made my pains his prey.
""Vain man,"" said she, ""that dost in vain assay,
A mortal thing so to immortalize;
For I myself shall like to this decay,
And eke my name be wiped out likewise.""
""Not so,"" (quod I) ""let baser things devise
To die in dust, but you shall live by fame:
My verse your vertues rare shall eternize,
And in the heavens write your glorious name:
Where whenas death shall all the world subdue,
Our love shall live, and later life renew.""",Edmund Spenser,sonnet
Amoretti LXXIX: Men Call you Fair,"Men call you fair, and you do credit it,
For that your self ye daily such do see:
But the true fair, that is the gentle wit,
And vertuous mind, is much more prais'd of me.
For all the rest, how ever fair it be,
Shall turn to naught and lose that glorious hue:
But only that is permanent and free
From frail corruption, that doth flesh ensue.
That is true beauty: that doth argue you
To be divine, and born of heavenly seed:
Deriv'd from that fair Spirit, from whom all true
And perfect beauty did at first proceed.
He only fair, and what he fair hath made,
All other fair, like flowers untimely fade.",Edmund Spenser,sonnet
"Astrophil and Stella 1: Loving in truth, and fain in verse my love to show","Loving in truth, and fain in verse my love to show, 
That she, dear she, might take some pleasure of my pain,— 
Pleasure might cause her read, reading might make her know, 
Knowledge might pity win, and pity grace obtain,— 
I sought fit words to paint the blackest face of woe; 
Studying inventions fine her wits to entertain, 
Oft turning others' leaves, to see if thence would flow 
Some fresh and fruitful showers upon my sunburn'd brain. 
But words came halting forth, wanting invention's stay; 
Invention, Nature's child, fled step-dame Study's blows; 
And others' feet still seem'd but strangers in my way. 
Thus great with child to speak and helpless in my throes, 
Biting my truant pen, beating myself for spite, 
""Fool,"" said my Muse to me, ""look in thy heart, and write.""",Sir Philip Sidney,sonnet
Astrophil and Stella 3: Let dainty wits cry on the sisters nine,"Let dainty wits cry on the sisters nine, 
That, bravely mask'd, their fancies may be told; 
Or, Pindar's apes, flaunt they in phrases fine, 
Enam'ling with pied flowers their thoughts of gold. 
Or else let them in statelier glory shine, 
Ennobling newfound tropes with problems old; 
Or with strange similes enrich each line, 
Of herbs or beasts which Ind or Afric hold. 
For me, in sooth, no Muse but one I know; 
Phrases and problems from my reach do grow, 
And strange things cost too dear for my poor sprites. 
How then? even thus: in Stella's face I read 
What love and beauty be; then all my deed 
But copying is, what in her Nature writes.",Sir Philip Sidney,sonnet
"Astrophil and Stella 7: When Nature made her chief work, Stella's eyes","When Nature made her chief work, Stella's eyes, 
In colour black why wrapt she beams so bright? 
Would she in beamy black, like painter wise, 
Frame daintiest lustre, mix'd of shades and light? 
Or did she else that sober hue devise, 
In object best to knit and strength our sight; 
Lest, if no veil these brave gleams did disguise, 
They, sunlike, should more dazzle than delight? 
Or would she her miraculous power show, 
That, whereas black seems beauty's contrary, 
She even in black doth make all beauties flow? 
Both so, and thus, she, minding Love should be 
Plac'd ever there, gave him this mourning weed 
To honour all their deaths who for her bleed.",Sir Philip Sidney,sonnet
Astrophil and Stella 15: You that do search for every purling spring ,"You that do search for every purling spring 
Which from the ribs of old Parnassus flows, 
And every flower, not sweet perhaps, which grows 
Near thereabouts, into your poesy wring; 
Ye that do dictionary's method bring 
Into your rimes, running in rattling rows; 
You that poor Petrarch's long-deceased woes 
With new-born sighs and denizen'd wit do sing: 
You take wrong ways; those far-fet helps be such 
As do bewray a want of inward touch, 
And sure, at length stol'n goods do come to light. 
But if, both for your love and skill, your name 
You seek to nurse at fullest breasts of Fame, 
Stella behold, and then begin to endite.",Sir Philip Sidney,sonnet
"Astrophil and Stella 20: Fly, fly, my friends, I have my death wound, fly","Fly, fly, my friends, I have my death wound, fly! 
See there that boy, that murd'ring boy, I say, 
Who, like a thief, hid in dark bush doth lie 
Till bloody bullet get him wrongful prey. 
So tyrant he no fitter place could spy, 
Nor so fair level in so secret stay, 
As that sweet black which veils the heav'nly eye; 
There himself with his shot he close doth lay. 
Poor passenger, pass now thereby I did, 
And stay'd, pleas'd with the prospect of the place, 
While that black hue from me the bad guest hid; 
But straight I saw motions of lightning grace 
And then descried the glist'ring of his dart: 
But ere I could fly thence it pierc'd my heart.",Sir Philip Sidney,sonnet
"Astrophil and Stella 23: The curious wits, seeing dull pensiveness","The curious wits, seeing dull pensiveness 
Bewray itself in my long-settl'd eyes, 
Whence those same fumes of melancholy rise, 
With idle pains and missing aim do guess. 
Some, that know how my spring I did address, 
Deem that my Muse some fruit of knowledge plies; 
Others, because the prince my service tries, 
Think that I think state errors to redress; 
But harder judges judge ambition's ragei 
Scourge of itself, still climbing slipp'ry placei 
Holds my young brain captiv'd in golden cage. 
O fool or over-wise! alas, the race 
Of all my thoughts hath neither stop nor start 
But only Stella's eyes and Stella's heart.",Sir Philip Sidney,sonnet
"Astrophil and Stella 31: With how sad steps, O Moon, thou climb'st the skies","With how sad steps, O Moon, thou climb'st the skies! 
How silently, and with how wan a face! 
What, may it be that even in heav'nly place 
That busy archer his sharp arrows tries! 
Sure, if that long-with love-acquainted eyes 
Can judge of love, thou feel'st a lover's case, 
I read it in thy looks; thy languish'd grace 
To me, that feel the like, thy state descries. 
Then, ev'n of fellowship, O Moon, tell me, 
Is constant love deem'd there but want of wit? 
Are beauties there as proud as here they be? 
Do they above love to be lov'd, and yet 
Those lovers scorn whom that love doth possess? 
Do they call virtue there ungratefulness?",Sir Philip Sidney,sonnet
"Astrophil and Stella 33: I might!—unhappy word—O me, I might","I might!—unhappy word—O me, I might, 
And then would not, or could not, see my bliss; 
Till now wrapt in a most infernal night, 
I find how heav'nly day, wretch! I did miss. 
Heart, rend thyself, thou dost thyself but right; 
No lovely Paris made thy Helen his, 
No force, no fraud robb'd thee of thy delight, 
Nor Fortune of thy fortune author is; 
But to myself myself did give the blow, 
While too much wit, forsooth, so troubled me 
That I respects for both our sakes must show: 
And yet could not by rising morn foresee 
How fair a day was near: O punish'd eyes, 
That I had been more foolish,—or more wise!",Sir Philip Sidney,sonnet
"Astrophil and Stella 39: Come Sleep! O Sleep, the certain knot of peace","Come Sleep! O Sleep, the certain knot of peace, 
The baiting-place of wit, the balm of woe, 
The poor man's wealth, the prisoner's release, 
Th' indifferent judge between the high and low. 
With shield of proof shield me from out the prease 
Of those fierce darts despair at me doth throw: 
O make in me those civil wars to cease; 
I will good tribute pay, if thou do so. 
Take thou of me smooth pillows, sweetest bed, 
A chamber deaf to noise and blind to light, 
A rosy garland and a weary head: 
And if these things, as being thine by right, 
Move not thy heavy grace, thou shalt in me, 
Livelier than elsewhere, Stella's image see.",Sir Philip Sidney,sonnet
"Astrophil and Stella 41: Having this day my horse, my hand, my lance ","Having this day my horse, my hand, my lance 
Guided so well that I obtain'd the prize, 
Both by the judgment of the English eyes 
And of some sent from that sweet enemy France; 
Horsemen my skill in horsemanship advance, 
Town folks my strength; a daintier judge applies 
His praise to sleight which from good use doth rise; 
Some lucky wits impute it but to chance; 
Others, because of both sides I do take 
My blood from them who did excel in this, 
Think Nature me a man of arms did make. 
How far they shot awry! The true cause is, 
Stella look'd on, and from her heav'nly face 
Sent forth the beams which made so fair my race.",Sir Philip Sidney,sonnet
"Astrophil and Stella 64: No more, my dear, no more these counsels try","No more, my dear, no more these counsels try; 
Oh, give my passions leave to run their race; 
Let Fortune lay on me her worst disgrace; 
Let folk o'ercharg'd with brain against me cry; 
Let clouds bedim my face, break in mine eye; 
Let me no steps but of lost labour trace; 
Let all the earth with scorn recount my case, 
But do not will me from my love to fly. 
I do not envy Aristotle's wit, 
Nor do aspire to Caesar's bleeding fame; 
Nor aught do care though some above me sit; 
Nor hope nor wish another course to frame, 
But that which once may win thy cruel heart: 
Thou art my wit, and thou my virtue art.",Sir Philip Sidney,sonnet
Astrophil and Stella 71: Who will in fairest book of nature know ,"Who will in fairest book of nature know 
How virtue may best lodg'd in beauty be, 
Let him but learn of love to read in thee, 
Stella, those fair lines which true goodness show. 
There shall he find all vices' overthrow, 
Not by rude force, but sweetest sovereignty 
Of reason, from whose light those night-birds fly; 
That inward sun in thine eyes shineth so. 
And, not content to be perfection's heir 
Thyself, dost strive all minds that way to move, 
Who mark in thee what is in thee most fair. 
So while thy beauty draws thy heart to love, 
As fast thy virtue bends that love to good: 
But ""Ah,"" Desire still cries, ""Give me some food!""",Sir Philip Sidney,sonnet
"Astrophil and Stella 84: Highway, since you my chief Parnassus be","Highway, since you my chief Parnassus be, 
And that my Muse, to some ears not unsweet, 
Tempers her words to trampling horses' feet 
More oft than to a chamber melody. 
Now, blessed you bear onward blessed me 
To her, where I my heart, safe-left, shall meet: 
My Muse and I must you of duty greet 
With thanks and wishes, wishing thankfully. 
Be you still fair, honour'd by public heed; 
By no encroachment wrong'd, nor time forgot, 
Nor blam'd for blood, nor sham'd for sinful deed; 
And that you know I envy you no lot 
Of highest wish, I wish you so much bliss,i 
Hundreds of years you Stella's feet may kiss.",Sir Philip Sidney,sonnet
"Astrophil and Stella 92: Be your words made, good sir, of Indian ware","Be your words made, good sir, of Indian ware, 
That you allow me them by so small rate? 
Or do you cutted Spartans imitate? 
Or do you mean my tender ears to spare, 
That to my questions you so total are? 
When I demand of Phoenix Stella's state, 
You say, forsooth, you left her well of late: 
O God, think you that satisfies my care? 
I would know whether she did sit or walk; 
How cloth'd, how waited on; sigh'd she, or smil'd; 
Whereof, with whom, how often did she talk; 
With what pastime time's journey she beguiled; 
If her lips deign'd to sweeten my poor name. 
Say all; and all well said, still say the same.",Sir Philip Sidney,sonnet
"Astrophil and Stella 63: O Grammar rules, O now your virtues show","O Grammar rules, O now your virtues show;
    So children still readread To discern and discover you with awfulawful Archaic term for “awe-filled”.  eyes,
    As my young Dove may in your precepts wise
Her grant to me, by her own virtue know.
For late with heart most high, with eyes most low,
    I crav’d the thing which ever she denies:
    She lightning Lovelightning Love That is, lightening Love, displaying Venus’ skiesVenus’ skies Venus as both the planet (evening star) and the goddess of Love,
Least once should not be heard, twice said, No, No.
    SingSing … sing This line is an example of epanalepsis, the poetic technique of beginning and ending the line with the same word.  then my Muse, now Io Pæan Io Pæan Homer began his hymn to Apollo with these words, which serve as a Latinized version of the phrase “Sing Muse...” sing,
    Heav’ns envy not at my high triumphing:
But Grammar’s force with sweet success confirm,
    For Grammar says (O this dear Stella weigh,)
    For Grammar says (to Grammar who says nay)
That in one speech two Negatives affirm.",Sir Philip Sidney,sonnet
Song from Arcadia: “My True Love Hath My Heart”,"My true-love hath my heart and I have his,
By just exchange one for the other given:
I hold his dear, and mine he cannot miss;
There never was a bargain better driven.
His heart in me keeps me and him in one;
My heart in him his thoughts and senses guides:
He loves my heart, for once it was his own;
I cherish his because in me it bides.
His heart his wound received from my sight;
My heart was wounded with his wounded heart;
For as from me on him his hurt did light,
So still, methought, in me his hurt did smart:
Both equal hurt, in this change sought our bliss,
My true love hath my heart and I have his.",Sir Philip Sidney,sonnet
"""Leave me, O Love, which reachest but to dust""","Leave me, O Love, which reachest but to dust;
And thou, my mind, aspire to higher things;
Grow rich in that which never taketh rust;
Whatever fades but fading pleasure brings.
Draw in thy beams and humble all thy might
To that sweet yoke where lasting freedoms be;
Which breaks the clouds and opens forth the light,
That doth both shine and give us sight to see.
O take fast hold; let that light be thy guide
In this small course which birth draws out to death,
And think how evil becometh him to slide,
Who seeketh heav'n, and comes of heav'nly breath.
Then farewell, world; thy uttermost I see:
Eternal Love, maintain thy life in me.",Sir Philip Sidney,sonnet
"Caelica 22: I, with whose colours Myra dress’d her head","I, with whose colours Myra dress’d her head, 
    I, that ware posies of her own hand-making, 
I, that mine own name in the chimneys read 
    By Myra finely wrought ere I was waking: 
         Must I look on, in hope time coming may 
         With change bring back my turn again to play? 
 
I, that on Sunday at the church-stile found 
    A garland sweet, with true-love knots in flowers, 
Which I to wear about mine arm was bound, 
    That each of us might know that all was ours: 
         Must I now lead an idle life in wishes, 
         And follow Cupid for his loaves and fishes? 
 
I, that did wear the ring her mother left, 
    I, for whose love she gloried to be blamed, 
I, with whose eyes her eyes committed theft, 
    I, who did make her blush when I was named: 
         Must I lose ring, flowers, blush, theft, and go naked, 
         Watching with sighs till dead love be awaked? 
 
I, that, when drowsy Argus fell asleep, 
    Like jealousy o’erwatched with desire, 
Was even warned modesty to keep, 
    While her breath, speaking, kindled Nature’s fire: 
         Must I look on a-cold, while others warm them? 
         Do Vulcan’s brothers in such fine nets arm them? 
 
Was it for this that I might Myra see 
    Washing the water with her beauties white? 
Yet would she never write her love to me. 
    Thinks wit of change, while thoughts are in delight? 
         Mad girls must safely love as they may leave; 
         No man can print a kiss: lines may deceive.",Baron Brooke Fulke Greville,sonnet
"A Coronet for his Mistress, Philosophy","Muses that sing love's sensual empery,
And lovers kindling your enraged fires
At Cupid's bonfires burning in the eye,
Blown with the empty breath of vain desires;
You that prefer the painted cabinet
Before the wealthy jewels it doth store ye,
That all your joys in dying figures set,
And stain the living substance of your glory;
Abjure those joys, abhor their memory,
And let my love the honour'd subject be
Of love, and honour's complete history.
Your eyes were never yet let in to see
   The majesty and riches of the mind,
   But dwell in darkness; for your god is blind.",George Chapman,sonnet
Psalm 150,"Oh, laud the Lord, the God of hosts commend,
        Exalt his pow’r, advance his holiness:
        With all your might lift his almightiness;
 Your greatest praise upon his greatness spend.
  
 Make trumpet’s noise in shrillest notes ascend;
        Make lute and lyre his loved fame express;
        Him let the pipe, him let the tabret bless,
 Him organ’s breath, that winds or waters lend.
  
 Let ringing timbrels so his honor sound,
        Let sounding cymbals so his glory ring,
        That in their tunes such melody be found
 As fits the pomp of most triumphant king.
  
 Conclude: by all that air or life enfold,
        Let high Jehovah highly be extolled.",Mary Sidney Herbert Countess of Pembroke,sonnet
"Idea 53: Clear Ancor, on whose silver-sanded shore","Clear Ancor, on whose silver-sanded shore
My soul-shrin'd saint, my fair Idea lies,
O blessed brook, whose milk-white swans adore
Thy crystal stream, refined by her eyes,
Where sweet myrrh-breathing Zephyr in the spring
Gently distils his nectar-dropping showers,
Where nightingales in Arden sit and sing
Amongst the dainty dew-impearled flowers;
Say thus, fair brook, when thou shalt see thy queen:
Lo, here thy shepherd spent his wand'ring years,
And in these shades, dear nymph, he oft hath been,
And here to thee he sacrific'd his tears.
Fair Arden, thou my Tempe art alone,
And thou, sweet Ancor, art my Helicon.",Michael Drayton,sonnet
Idea 14: If he from heaven that filched that living fire,"If he from heaven that filched that living fire 
Condemned by Jove to endless torment be, 
I greatly marvel how you still go free, 
That far beyond Prometheus did aspire. 
The fire he stole, although of heavenly kind, 
Which from above he craftily did take, 
Of liveless clods, us living men to make, 
He did bestow in temper of the mind. 
But you broke into heaven’s immortal store, 
Where virtue, honor, wit, and beauty lay; 
Which taking thence you have escaped away, 
Yet stand as free as ere you did before; 
   Yet old Prometheus punished for his rape. 
   Thus poor thieves suffer when the greater ‘scape.",Michael Drayton,sonnet
"Idea 20: An evil spirit, your beauty, haunts me still","An evil spirit, your beauty, haunts me still,
Wherewith, alas, I have been long possess'd,
Which ceaseth not to tempt me to each ill,
Nor gives me once but one poor minute's rest.
In me it speaks, whether I sleep or wake;
And when by means to drive it out I try,
With greater torments then it me doth take,
And tortures me in most extremity.
Before my face it lays down my despairs,
And hastes me on unto a sudden death;
Now tempting me to drown myself in tears,
And then in sighing to give up my breath.
Thus am I still provok'd to every evil
By this good-wicked spirit, sweet angel-devil.",Michael Drayton,sonnet
Idea 31: Methinks I see some crooked mimic jeer,"Methinks I see some crooked mimic jeer
And tax my muse with this fantastic grace,
Turning my papers, asks ""what have we here?""
Making withall some filthy antic face.
I fear no censure, nor what thou canst say,
Nor shall my spirit one jot of vigour lose.
Think'st thou my wit shall keep the pack-horse way
That ev'ry dudgeon low invention goes?
Since sonnets thus in bundles are impress'd,
And ev'ry drudge doth dull our satiate ear,
Think'st thou my love shall in those rags be dress'd
That ev'ry dowdy, ev'ry trull doth wear?
Up to my pitch no common judgment flies:
I scorn all earthly dung-bred scarabies.",Michael Drayton,sonnet
"Idea 37: Dear, why should you command me to my rest","Dear, why should you command me to my rest
When now the night doth summon all to sleep?
Methinks this time becometh lovers best;
Night was ordain'd together friends to keep.
How happy are all other living things
Which, though the day disjoin by sev'ral flight,
The quiet ev'ning yet together brings,
And each returns unto his love at night!
O thou that art so courteous else to all,
Why should'st thou, Night, abuse me only thus,
That ev'ry creature to his kind dost call,
And yet 'tis thou dost only sever us?
Well could I wish it would be ever day,
If when night comes you bid me go away.",Michael Drayton,sonnet
Idea 51: Calling to mind since first my love begun,"Calling to mind since first my love begun,
Th' incertain times oft varying in their course,
How things still unexpectedly have run,
As t' please the fates by their resistless force:
Lastly, mine eyes amazedly have seen
Essex' great fall, Tyrone his peace to gain,
The quiet end of that long-living Queen,
This King's fair entrance, and our peace with Spain,
We and the Dutch at length ourselves to sever:
Thus the world doth and evermore shall reel.
Yet to my goddess am I constant ever,
Howe'er blind fortune turn her giddy wheel:
Though heaven and earth prove both to me untrue,
Yet am I still inviolate to you.",Michael Drayton,sonnet
"Idea 61: Since there’s no help, come let us kiss and part","Since there’s no help, come let us kiss and part. 
Nay, I have done, you get no more of me; 
And I am glad, yea glad with all my heart, 
That thus so cleanly I myself can free. 
Shake hands for ever, cancel all our vows, 
And when we meet at any time again, 
Be it not seen in either of our brows 
That we one jot of former love retain. 
Now at the last gasp of Love’s latest breath, 
When, his pulse failing, Passion speechless lies; 
When Faith is kneeling by his bed of death, 
And Innocence is closing up his eyes— 
Now, if thou wouldst, when all have given him over, 
From death to life thou might’st him yet recover!",Michael Drayton,sonnet
"Idea  6: How many paltry, foolish, painted things","How many paltry, foolish, painted things,
That now in coaches trouble every street,
Shall be forgotten, whom no poet sings,
Ere they be well wrapp'd in their winding-sheet?
Where I to thee eternity shall give,
When nothing else remaineth of these days,
And queens hereafter shall be glad to live
Upon the alms of thy superfluous praise.
Virgins and matrons reading these my rhymes
Shall be so much delighted with thy story,
That they shall grieve they liv'd not in these times
To have seen thee, their sex's only glory.
So shalt thou fly above the vulgar throng,
Still to survive in my immortal song.",Michael Drayton,sonnet
