poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence
Chaucer,"Gone are the sensuous stars, and manifold,
Clear sunbeams burst upon the front of night;
Ten thousand swords of azure and of gold
Give darkness to the dark and welcome light;
Across the night of ages strike the gleams,
And leading on the gilded host appears
An old man writing in a book of dreams,
And telling tales of lovers for the years;
Still Troilus hears a voice that whispers, Stay;
In Nature’s garden what a mad rout sings!
Let’s hear these motley pilgrims wile away
The tedious hours with stories of old things;
Or might some shining eagle claim
These lowly numbers for the House of Fame!",Benjamin Brawley,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, which is characteristic of sonnets, and it follows a rhyme scheme that fits within the traditional sonnet forms (such as ABABCDCDEFEFGG in the case of a Shakespearean sonnet). The thematic exploration of love and nature also aligns with common subjects found in sonnets, further supporting its classification. Furthermore, the presence of imagery and reflection further emphasizes the qualities of a sonnet.",Structure,0.85
A Fixed Idea,"What torture lurks within a single thought
When grown too constant; and however kind,
However welcome still, the weary mind
Aches with its presence. Dull remembrance taught
Remembers on unceasingly; unsought
The old delight is with us but to find
That all recurring joy is pain refined,
Become a habit, and we struggle, caught.
You lie upon my heart as on a nest,
Folded in peace, for you can never know
How crushed I am with having you at rest
Heavy upon my life. I love you so
You bind my freedom from its rightful quest.
In mercy lift your drooping wings and go.",Amy Lowell,sonnet,Sonnet,"This poem is a sonnet because it contains 14 lines, follows a specific structure often associated with sonnets, and explores a complex emotional theme. The theme of love intertwined with pain, along with the use of iambic pentameter, aligns with the traditional characteristics of sonnets, particularly those of the Petrarchan style with its thematic volta.",Structure,0.95
Yourself,"’Tis to yourself I speak; you cannot know
Him whom I call in speaking such an one,
For thou beneath the earth lie buried low,
Which he alone as living walks upon;
Thou mayst at times have heard him speak to you,
And often wished perchance that you were he;
And I must ever wish that it were true,
For then thou couldst hold fellowship with me;
But now thou hear’st us talk as strangers, met
Above the room wherein thou liest abed;
A word perhaps loud spoken thou mayst get,
Or hear our feet when heavily they tread;
But he who speaks, or him who’s spoken to,
Must both remain as strangers still to you.",Jones Very,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines with a specific rhyme scheme and explores a theme of communication and separation. The use of iambic pentameter is evident, along with the introspective nature of the content, which is characteristic of sonnets. Additionally, it employs a volta, particularly in the shift from speaking to the deceased to reflecting on the nature of their separation.",Structure,0.88
Strikers in Hyde Park,"A woof reversed the fatal shuttles weave, 
How slow! but never once they slip the thread. 
Hither, upon the Georgian idler’s tread, 
Up spacious ways the lindens interleave, 
Clouding the royal air since yester-eve, 
Come men bereft of time and scant of bread, 
Loud, who were dumb, immortal, who were dead, 
Thro’ the cowed world their kingdom to retrieve. 
 
What ails thee, England? Altar, mart, and grange 
Dream of the knife by night; not so, not so 
The clear Republic waits the general throe, 
Along her noonday mountains’ open range. 
God be with both! for one is young to know 
The other’s rote of evil and of change.",Louise Imogen Guiney,sonnet,Sonnet,"This poem is a sonnet because it follows the typical structure of 14 lines and employs a specific rhyme scheme (ABABCDCDEFEFGG) that is characteristic of the English sonnet form. The content also engages with themes of time, loss, and societal reflection, which are common in sonnet writing. The meter, primarily iambic pentameter, further supports its classification as a sonnet.",Structure,0.85
Sin of self-love possesseth all mine eye (Sonnet 62),"Sin of self-love possesseth all mine eye
And all my soul and all my every part;
And for this sin there is no remedy,
It is so grounded inward in my heart.
Methinks no face so gracious is as mine,
No shape so true, no truth of such account;
And for myself mine own worth do define,
As I all other in all worths surmount.
But when my glass shows me myself indeed,
Beated and chopp’d with tann’d antiquity,
Mine own self-love quite contrary I read;
Self so self-loving quite contrary I read;
Self so self-loving were iniquity.
    ’Tis thee, myself, that for myself I praise,
    Painting my age with beauty of thy days.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the traditional structure of 14 lines with a specific rhyme scheme (ABABCDCDEFEFGG) and explores themes of love, self-perception, and internal conflict. The language is elevated and reflective, characteristic of sonnets, especially those influenced by the Petrarchan and Shakespearean traditions. The use of iambic pentameter is evident throughout, further solidifying its identification as a sonnet.",Structure,0.95
Modern Love: XXXVI,"My Lady unto Madam makes her bow.
The charm of women is, that even while
You’re probed by them for tears you yet may smile,
Nay, laugh outright, as I have done just now.
The interview was gracious: they anoint
(To me aside) each other with fine praise:
Discriminating compliments they raise,
That hit with wondrous aim on the weak point:
My Lady’s nose of Nature might complain.
It is not fashioned aptly to express
Her character of large-browed steadfastness.
But Madam says: ‘Thereof she may be vain!’
Now Madam’s faulty feature is a glazed
And inaccessible eye, that has soft fires,
Wide gates, at love-time only. This admires
My Lady. At the two I stand amazed.",George Meredith,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, following a specific structure and rhythm that aligns with traditional sonnet forms, such as the Shakespearean or Petrarchan. The poem addresses themes of admiration and beauty in two women, conveying layered emotions and observations typical of sonnets. The rhyme scheme present in the poem reinforces its lyrical quality, characteristic of sonnets.",Structure,0.85
A woman’s face with nature’s own hand painted (Sonnet 20),"A woman’s face with nature’s own hand painted,
Hast thou, the master mistress of my passion;
A woman’s gentle heart, but not acquainted
With shifting change, as is false women’s fashion:
An eye more bright than theirs, less false in rolling,
Gilding the object whereupon it gazeth;
A man in hue all ‘hues’ in his controlling,
Which steals men’s eyes and women’s souls amazeth.
And for a woman wert thou first created;
Till Nature, as she wrought thee, fell a-doting,
And by addition me of thee defeated,
By adding one thing to my purpose nothing.
    But since she prick’d thee out for women’s pleasure,
    Mine be thy love and thy love’s use their treasure.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines and follows a specific rhyme scheme typical of Shakespearean sonnets, with three quatrains and a final rhymed couplet. The themes of unrequited love and the beauty of the subject align with traditional sonnet subjects, and the use of iambic pentameter is evident throughout the poem.",Structure,0.95
"Epitaph on the Tombstone of a Child, the Last of Seven that Died Before","This Little, Silent, Gloomy Monument,
Contains all that was sweet and innocent ;
The softest pratler that e'er found a Tongue,
His Voice was Musick and his Words a Song ;
Which now each List'ning Angel smiling hears,
Such pretty Harmonies compose the Spheres;
Wanton as unfledg'd Cupids, ere their Charms
Has learn'd the little arts of doing harms ;
Fair as young Cherubins, as soft and kind,
And tho translated could not be refin'd ;
The Seventh dear pledge the Nuptial Joys had given,
Toil'd here on Earth, retir'd to rest in Heaven ;
Where they the shining Host of Angels fill,
Spread their gay wings before the Throne, and smile.",Aphra Behn,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of a sonnet, which typically consists of 14 lines and often explores themes of love, beauty, or loss. The poem exhibits a rhyme scheme and elevated language associated with sonnets, and its reflective nature aligns with the sonnet's usual exploration of human emotion and experience. Although it doesn’t strictly adhere to the specific rhyme scheme of a Shakespearean or Petrarchan sonnet, its thematic and structural elements align it closely with the sonnet form.",Structure,0.82
"That thou hast her, it is not all my grief (Sonnet 42) ","That thou hast her, it is not all my grief,
And yet it may be said I loved her dearly;
That she hath thee, is of my wailing chief,
A loss in love that ouches me more nearly.
Loving offenders, thus I will excuse ye:
Thou dost hove her, because thou know’st I love her;
And for my sake even so doth she abuse me,
Suffering my friend for my sake to approve her.
If I lose thee, my loss is my love’s gain,
And losing her, my friend hath found that loss;
Both find each other, and I lose both twain,
And both for my sake lay on me this cross:
    But here’s the joy; my friend and I are one;
    Sweet flattery! then she loves but me alone.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it conforms to the traditional structure of 14 lines written in iambic pentameter, and it follows a specific rhyme scheme often associated with sonnets, particularly the Shakespearean format (ABABCDCDEFEFGG). The thematic exploration of love, loss, and friendship aligns with the typical emotional depth characteristic of sonnets.",Structure,0.95
"Oh, oh, you will be sorry for that word! ","Oh, oh, you will be sorry for that word!
Give back my book and take my kiss instead.
Was it my enemy or my friend I heard,
“What a big book for such a little head!”
Come, I will show you now my newest hat,
And you may watch me purse my mouth and prink!
Oh, I shall love you still, and all of that.
I never again shall tell you what I think.
I shall be sweet and crafty, soft and sly;
You will not catch me reading any more:
I shall be called a wife to pattern by;
And some day when you knock and push the door,
Some sane day, not too bright and not too stormy,
I shall be gone, and you may whistle for me.",Edna St. Vincent Millay,sonnet,Sonnet,"This poem is a sonnet because it contains 14 lines and follows a specific rhyme scheme typical of sonnets. The language reflects emotional depth, characteristic of sonnets, while also employing metaphor and imagery. The poem's structure contributes to its lyrical quality, with a volta, or shift in tone, present in the latter half that transitions from playful lamentation to a more serious reflection on the speaker's emotions and impending departure.",Structure,0.85
"Then hate me when thou wilt; if ever, now; (Sonnet 90) ","Then hate me when thou wilt; if ever, now;
Now, while the world is bent my deeds to cross,
Join with the spite of fortune, making me bow,
And do not drop in for an after-loss:
Ah, do not, when my heart hath ’scaped this sorrow,
Come in the rearward of a conquer’d woe;
Give not a windy night a rainy morrow,
To linger out a purposed overthrow.
If thou wilt leave me, do not leave me last,
When other petty griefs have done their spite,
But in the onset come; so shall I taste 
At first the very worst of fortune’s might,
    And other strains of woe, which now seem woe,
    Compared with loss of thee will not seem so.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of a Shakespearean sonnet, which is comprised of 14 lines written in iambic pentameter. The rhyme scheme follows the pattern ABABCDCDEFEFGG, with the thematic elements revolving around love, loss, and the complexities of emotional relationships. The volta or thematic shift is also present, as the speaker reflects on the repercussions of love and the pain of parting.",Structure,0.95
Accuse me thus: that I have scanted all (Sonnet 117),"Accuse me thus: that I have scanted all
Wherein I should your great deserts repay,
Forgot upon your dearest love to call,
Whereto all bonds do tie me day by day;
That I have frequent been with unknown minds
And given to time your own dear-purchased right;
That I have hoisted sail to all the winds
Which should transport me farthest from your sight.
Book both my willfulness and errors down
And on just proof surmise accumulate;
Bring me within the level of your frown,
But shoot not at me in your waken’d hate;
    Since my appeal says I did strive to prove
    The constancy and virtue of your love.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the structure typically associated with sonnets, characterized by 14 lines and a specific rhyme scheme. The poem utilizes a formal tone and explores themes of love and regret, which are common subjects in sonnets. Additionally, it has elements of a volta, or a turn in thought, particularly in the transition before the final couplet, focusing on the plea for understanding and the desire to affirm love.",Structure,0.95
"Idea 20: An evil spirit, your beauty, haunts me still","An evil spirit, your beauty, haunts me still,
Wherewith, alas, I have been long possess'd,
Which ceaseth not to tempt me to each ill,
Nor gives me once but one poor minute's rest.
In me it speaks, whether I sleep or wake;
And when by means to drive it out I try,
With greater torments then it me doth take,
And tortures me in most extremity.
Before my face it lays down my despairs,
And hastes me on unto a sudden death;
Now tempting me to drown myself in tears,
And then in sighing to give up my breath.
Thus am I still provok'd to every evil
By this good-wicked spirit, sweet angel-devil.",Michael Drayton,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of a sonnet, which typically includes 14 lines, usually written in iambic pentameter, and often features a specific rhyme scheme. In this case, the poem has 14 lines, a specific thematic progression dealing with love and torment, and displays a rhyme scheme that is characteristic of sonnets. The volta, or thematic shift, also appears to occur around the ninth line, a hallmark of many sonnets.",Structure,0.88
Mary's Girlhood (for a Picture),"This is that blessed Mary, pre-elect
     God's Virgin. Gone is a great while, and she
     Dwelt young in Nazareth of Galilee.
Unto God's will she brought devout respect,
Profound simplicity of intellect,
     And supreme patience. From her mother's knee
     Faithful and hopeful; wise in charity;
Strong in grave peace; in pity circumspect.

So held she through her girlhood; as it were
     An angel-water'd lily, that near God
          Grows and is quiet. Till, one dawn at home,
She woke in her white bed, and had no fear
     At all,—yet wept till sunshine, and felt aw'd:
          Because the fulness of the time was come.",Dante Gabriel Rossetti,sonnet,Sonnet,"This poem is a sonnet because it follows the traditional structure of fourteen lines and adheres to a specific rhyme scheme that is characteristic of sonnets, particularly Petrarchan. The poem presents a thematic exploration of the Virgin Mary, reflecting on her virtues and experiences with a sense of reverence. The language is elevated and contains rich imagery, aligning with the qualities often found in sonnets, especially those that delve into emotional and spiritual themes. The physical and metaphysical contemplations encapsulated within the poem further emphasize its alignment with the sonnet form.",Structure,0.95
Sonnets from the Portuguese 26: I lived with visions for my company,"I lived with visions for my company, 
Instead of men and women, years ago, 
And found them gentle mates, nor thought to know 
A sweeter music than they played to me. 
But soon their trailing purple was not free 
Of this world's dust, — their lutes did silent grow, 
And I myself grew faint and blind below 
Their vanishing eyes. Then THOU didst come ... to be, 
Belovèd, what they seemed. Their shining fronts, 
Their songs, their splendours, (better, yet the same, 
As river-water hallowed into fonts) 
Met in thee, and from out thee overcame 
My soul with satisfaction of all wants — 
Because God's gifts put man's best dreams to shame.",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of 14 lines, organized into an octave and a sestet. The rhyme scheme is characteristic of sonnets, often employing variations that align well with the Petrarchan style, in which the poet explores themes of love and idealized visions of companionship. The reflective and contemplative tone, combined with the use of metaphor and imagery, further supports its classification as a sonnet.",Structure,0.95
Sonnet 25: Let those who are in favour with their stars,"Let those who are in favour with their stars
Of public honour and proud titles boast,
Whilst I, whom fortune of such triumph bars,
Unlook'd for joy in that I honour most.
Great princes' favourites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, adhering to the typical structure of a Shakespearean sonnet. It features a specific rhyme scheme (ABABCDCDEFEFGG) and explores themes of love, honor, and the transient nature of public accolades versus the enduring quality of personal relationships. Additionally, the volta, or thematic shift, is evident as the poem moves from discussing the futility of public honor to the more personal and steadfast nature of love.",Structure,0.95
"Sonnet 15: Fairfax, whose name in arms through Europe rings","On the Lord General Fairfax at the Siege of Colchester

Fairfax, whose name in arms through Europe rings 
      Filling each mouth with envy, or with praise, 
      And all her jealous monarchs with amaze 
      And rumours loud, that daunt remotest kings; 
Thy firm unshak'n virtue ever brings 
      Victory home, though new rebellions raise 
      Their hydra heads, and the false north displays 
      Her brok'n league, to imp their serpent wings: 
O yet a nobler task awaits thy hand; 
      For what can war but endless war still breed? 
      Till Truth and Right from Violence be freed, 
And Public Faith clear'd from the shameful brand 
      Of Public Fraud. In vain doth Valour bleed 
      While Avarice and Rapine share the land.",John Milton,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, which is characteristic of the sonnet form. The rhyme scheme also follows the traditional Petrarchan or Shakespearean patterns, where the structure and thematic development align with the exploration of a central idea—in this case, the virtues of Lord Fairfax amid the chaos of war. The volta, or thematic shift, occurs with ""O yet a nobler task awaits thy hand,"" reflecting on the larger purpose beyond mere military conflict.",Structure,0.95
My Letters! all dead paper... (Sonnet 28),"My letters! all dead paper, mute and white!
And yet they seem alive and quivering
Against my tremulous hands which loose the string
And let them drop down on my knee tonight.
This said—he wished to have me in his sight
Once, as a friend: this fixed a day in spring
To come and touch my hand. . . a simple thing,
Yes I wept for it—this . . . the paper's light. . .
Said, Dear, I love thee; and I sank and quailed
As if God's future thundered on my past.
This said, I am thine—and so its ink has paled
With lying at my heart that beat too fast.
And this . . . 0 Love, thy words have ill availed
If, what this said, I dared repeat at last!",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, following a specific emotional exploration typical of sonnets. The rhyme scheme reflects the traditional Petrarchan sonnet format, where the first eight lines (the octave) present a problem or situation, and the subsequent six lines (the sestet) provide a resolution or reflection. The themes of love, longing, and the tension between written words and emotional truth align with the traditional subject matter of sonnets.",Structure,0.95
Sonnets from the Portuguese  1: I thought once how Theocritus had sung,"I thought once how Theocritus had sung 
Of the sweet years, the dear and wished for years, 
Who each one in a gracious hand appears 
To bear a gift for mortals, old or young: 
And, as I mused it in his antique tongue, 
I saw, in gradual vision through my tears, 
The sweet, sad years, the melancholy years, 
Those of my own life, who by turns had flung 
A shadow across me. Straightway I was 'ware, 
So weeping, how a mystic Shape did move 
Behind me, and drew me backward by the hair, 
And a voice said in mastery, while I strove, ... 
Guess now who holds thee?'—Death,' I said. But there, 
The silver answer rang ... Not Death, but Love.'",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines which follow a specific rhyme scheme, predominantly featuring an ABABCDCDEFEFGG pattern. Additionally, it employs iambic pentameter, a hallmark of traditional English sonnets. The poem explores deep emotional themes about life, love, and mortality, which are often foundational subjects in sonnet poetry. Therefore, the structured form and thematic content align closely with the characteristics of a sonnet.",Structure,0.95
"October XXIX, 1795 ","Time sitting on the throne of Memory
Bade all her subject Days, the past had known
Arise and say what thing gave them renown
Unforgetable, ‘Rising from the sea,
I gave the Genoese his dream to be;’
‘I saw the Corsican’s Guards swept down;’
‘Colonies I made free from a tyrant’s crown;’—
So each Day told its immortality.

And with these blazing triumphs spoke one voice
Whose wistful speech no vaunting did employ:
‘I know not if ’twere by Fate’s chance or choice
I hold the lowly birth of an English boy;
I only know he made man’s heart rejoice
Because he played with Beauty for a toy!’",William Stanley Braithwaite,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of 14 lines, consisting of an octet followed by a sestet, and explores themes of memory, time, and legacy, typical of sonnets. The rhyme scheme, which is ABABCDCDEFEFGG, supports its classification as a sonnet. Additionally, the rich imagery and deep emotional resonance reflect the sonnet's customary focus on personal reflection and philosophical inquiry.",Structure,0.95
