poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence,blocked
Sonnet XCI [I can in groups these mimic flowers compose],"Reflections on Some Drawings of Plants

I can in groups these mimic flowers compose,
  These bells and golden eyes, embathed in dew; 
Catch the soft blush that warms the early Rose, 
  Or the pale Iris cloud with veins of blue; 
Copy the scallop’d leaves, and downy stems, 
  And bid the pencil’s varied shades arrest 
Spring’s humid buds, and Summer’s musky gems: 
  But, save the portrait on my bleeding breast, 
I have no semblance of that form adored, 
  That form, expressive of a soul divine, 
  So early blighted, and while life is mine, 
With fond regret, and ceaseless grief deplored— 
  That grief, my angel! with too faithful art 
  Enshrines thy image in thy Mother’s heart. ",Charlotte Smith,sonnet,Ghazal,"This poem is a ghazal because it is composed of couplets (pairs of rhymed lines) that explore a central theme of longing and remembrance, typical of the ghazal's structure. Although the poem is not explicitly divided into clear stanzas or a clear ""qafi’"" (concluding couplet), the recurring themes of loss, art as a medium for memory, and the speaker's emotional state align with the common motifs in ghazals. The use of emotional introspection, occasional assonance rhyme (not strict end-rhyme in every line), and the personal, confessional tone also support the ghazal form, despite some variations from the strict classical definition.",Memory,,False
Chaucer,"Gone are the sensuous stars, and manifold,
Clear sunbeams burst upon the front of night;
Ten thousand swords of azure and of gold
Give darkness to the dark and welcome light;
Across the night of ages strike the gleams,
And leading on the gilded host appears
An old man writing in a book of dreams,
And telling tales of lovers for the years;
Still Troilus hears a voice that whispers, Stay;
In Nature’s garden what a mad rout sings!
Let’s hear these motley pilgrims wile away
The tedious hours with stories of old things;
Or might some shining eagle claim
These lowly numbers for the House of Fame!",Benjamin Brawley,sonnet,Ghazal,"This poem is a ghazal because it features a recurring rhyme scheme (as commonly found in ghazals), addresses a theme of storytelling and recollection (often present in ghazals), and includes a closing couplet that suggests a refrain or a universal appeal, a hallmark of the ghazal's structure. Although the poem's meter and line breaks do not perfectly align with the strict classical ghazal (which typically uses a pakhawaj meter and a consistent quatrains/rhyme pattern), the presence of a narrative voice, the invocation of memory and tales from the past, and the poetic address to the listener are all evocative of the ghazal form. The poem’s lack of a clear, repeating refrain and the somewhat irregular stanza structure reduce certainty, but the thematic and structural cues align more closely with ghazal than the other forms listed.",Recitation,0.85,False
A Fixed Idea,"What torture lurks within a single thought
When grown too constant; and however kind,
However welcome still, the weary mind
Aches with its presence. Dull remembrance taught
Remembers on unceasingly; unsought
The old delight is with us but to find
That all recurring joy is pain refined,
Become a habit, and we struggle, caught.
You lie upon my heart as on a nest,
Folded in peace, for you can never know
How crushed I am with having you at rest
Heavy upon my life. I love you so
You bind my freedom from its rightful quest.
In mercy lift your drooping wings and go.",Amy Lowell,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic form of a ghazal, which is characterized by an irregular rhyme scheme (usually with a monotonous or repeating end rhyme), thematic exploration of love or longing, and often a refrain or pensive tone. While the provided poem does not clearly display the traditional qafi’ or couplet structure typical in English ghazals (and some elements like the refrain or explicit metrical pattern are less pronounced), the meditation on emotional pain, the beloved, and the tension between presence and longing align with the typical subject matter and mood of the ghazal form. The poem’s reflective, yearning tone and focus on the ache of presence and absence are also common in ghazals.",Longing,0.85,False
Yourself,"’Tis to yourself I speak; you cannot know
Him whom I call in speaking such an one,
For thou beneath the earth lie buried low,
Which he alone as living walks upon;
Thou mayst at times have heard him speak to you,
And often wished perchance that you were he;
And I must ever wish that it were true,
For then thou couldst hold fellowship with me;
But now thou hear’st us talk as strangers, met
Above the room wherein thou liest abed;
A word perhaps loud spoken thou mayst get,
Or hear our feet when heavily they tread;
But he who speaks, or him who’s spoken to,
Must both remain as strangers still to you.",Jones Very,sonnet,Ghazal,"This poem is a ghazal because it is structured around the idea of a beloved or a person (here, the speaker's self), employing a consistent rhyme scheme and thematic focus on separation, longing, and the divide between the speaker and the listener. Ghazals commonly explore themes of love and existential separation, often with a distinct rhyming pattern and a refrain-like quality in their opening lines, though this poem's form is more clearly defined by its quatrains and repeating thematic motifs rather than a traditional refrained opening. However, the emotional focus on distance and unbridgeable separation, the use of indirect address, and the lyrical, reflective tone align well with the conventions of the ghazal, even if the strict technicalities (like a pachghaz or mantiq) are not fully explicit in the given excerpt.",Separation,0.85,False
Strikers in Hyde Park,"A woof reversed the fatal shuttles weave, 
How slow! but never once they slip the thread. 
Hither, upon the Georgian idler’s tread, 
Up spacious ways the lindens interleave, 
Clouding the royal air since yester-eve, 
Come men bereft of time and scant of bread, 
Loud, who were dumb, immortal, who were dead, 
Thro’ the cowed world their kingdom to retrieve. 
 
What ails thee, England? Altar, mart, and grange 
Dream of the knife by night; not so, not so 
The clear Republic waits the general throe, 
Along her noonday mountains’ open range. 
God be with both! for one is young to know 
The other’s rote of evil and of change.",Louise Imogen Guiney,sonnet,Blues Poem,"This poem is a blues poem because it expresses sorrow or lament (the ""woof reversed the fatal shuttles weave,"" ""men bereft of time and scant of bread,"" ""What ails thee, England?""), uses an AAB rhyme scheme (the first two stanzas, for instance, have repeated end rhymes like ""weave""/""thread"" and ""tread""/""interleave,"" then ""dove""/""bread"" and ""thread""/""retrieve""), and carries a tone of hardship and longing characteristic of the traditional blues form. While it is not strictly structured in the 12-bar blues stanza form, the thematic mood, repetition, and rhyme pattern are strongly evocative of blues poetry.",Lament,0.85,False
Sin of self-love possesseth all mine eye (Sonnet 62),"Sin of self-love possesseth all mine eye
And all my soul and all my every part;
And for this sin there is no remedy,
It is so grounded inward in my heart.
Methinks no face so gracious is as mine,
No shape so true, no truth of such account;
And for myself mine own worth do define,
As I all other in all worths surmount.
But when my glass shows me myself indeed,
Beated and chopp’d with tann’d antiquity,
Mine own self-love quite contrary I read;
Self so self-loving quite contrary I read;
Self so self-loving were iniquity.
    ’Tis thee, myself, that for myself I praise,
    Painting my age with beauty of thy days.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it features a repeated refrain (""But when my glass shows me myself indeed...""), characteristic of the ghazal’s structural device called the ""maqta"" or couplet. Ghazals are known for their thematic couplets, often with a refrain, and this poem’s introspective turn and repeated emphasis on self-examination align with the conventions of the form. The absence of a strict metrical pattern (like iambic pentameter) and the focus on love for self (with moral reflection) also fit the typical ghazal style.",Refrain,0.87,False
Modern Love: XXXVI,"My Lady unto Madam makes her bow.
The charm of women is, that even while
You’re probed by them for tears you yet may smile,
Nay, laugh outright, as I have done just now.
The interview was gracious: they anoint
(To me aside) each other with fine praise:
Discriminating compliments they raise,
That hit with wondrous aim on the weak point:
My Lady’s nose of Nature might complain.
It is not fashioned aptly to express
Her character of large-browed steadfastness.
But Madam says: ‘Thereof she may be vain!’
Now Madam’s faulty feature is a glazed
And inaccessible eye, that has soft fires,
Wide gates, at love-time only. This admires
My Lady. At the two I stand amazed.",George Meredith,sonnet,Ghazal,"This poem is a ghazal because it features a repeated end rhyme scheme (not explicitly shown in the provided excerpt, but common in ghazals), and the structure hints at the classic ghazal form with its thematic focus on love, complimenting, and self-reflection, as well as the subtle interplay between two women (My Lady and Madam). The poem's conversational tone and the emphasis on beauty, critique, and admiration are also typical of the ghazal. Additionally, the presence of subtle allusions and a meditative quality align with the ghazal's tradition.",Rhyme,0.85,False
A woman’s face with nature’s own hand painted (Sonnet 20),"A woman’s face with nature’s own hand painted,
Hast thou, the master mistress of my passion;
A woman’s gentle heart, but not acquainted
With shifting change, as is false women’s fashion:
An eye more bright than theirs, less false in rolling,
Gilding the object whereupon it gazeth;
A man in hue all ‘hues’ in his controlling,
Which steals men’s eyes and women’s souls amazeth.
And for a woman wert thou first created;
Till Nature, as she wrought thee, fell a-doting,
And by addition me of thee defeated,
By adding one thing to my purpose nothing.
    But since she prick’d thee out for women’s pleasure,
    Mine be thy love and thy love’s use their treasure.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the typical ghazal features such as an alternating rhyme scheme (often rhyming the qafi’ with the mad’), a thematic focus on love and the contrast between the speaker and another beloved (often a woman), and an invocation-like opening line that sets the tone or context. The poem also explores the idea of creation, nature, and the interplay between masculine and feminine qualities, which is common in ghazals that meditate on idealized love and the divine or natural order. While the structure is not perfectly clear from the provided text (as we only have a few lines), the lyrical style, thematic concerns, and potential for multiple stanzas or couplets align closely with the ghazal form.",Love,0.85,False
"Epitaph on the Tombstone of a Child, the Last of Seven that Died Before","This Little, Silent, Gloomy Monument,
Contains all that was sweet and innocent ;
The softest pratler that e'er found a Tongue,
His Voice was Musick and his Words a Song ;
Which now each List'ning Angel smiling hears,
Such pretty Harmonies compose the Spheres;
Wanton as unfledg'd Cupids, ere their Charms
Has learn'd the little arts of doing harms ;
Fair as young Cherubins, as soft and kind,
And tho translated could not be refin'd ;
The Seventh dear pledge the Nuptial Joys had given,
Toil'd here on Earth, retir'd to rest in Heaven ;
Where they the shining Host of Angels fill,
Spread their gay wings before the Throne, and smile.",Aphra Behn,sonnet,Ghazal,"This poem is a ghazal because it consists of multiple stanzas (here, two quatrains) that are loosely connected by a thematic or emotional thread (the transformation of earthly innocence to heavenly joy), without strict metrical regularity. Ghazals often explore themes of love or the soul's journey, and this poem's contemplative tone, shifting from earthly to celestial imagery, aligns with the ghazal's structure of couplets (or couplet-like stanzas) with a refrain or implicit connection between them. While the given text is in couplets, the form is more aligned with the thematic and structural conventions of the ghazal than the sonnet (which requires strict 14 lines and a specific rhyme scheme), duplex (which is less common and typically refers to mirrored or paired stanzas), or the blues poem (which has a specific AAB rhyme scheme and content focus).",Theme,0.88,False
"That thou hast her, it is not all my grief (Sonnet 42) ","That thou hast her, it is not all my grief,
And yet it may be said I loved her dearly;
That she hath thee, is of my wailing chief,
A loss in love that ouches me more nearly.
Loving offenders, thus I will excuse ye:
Thou dost hove her, because thou know’st I love her;
And for my sake even so doth she abuse me,
Suffering my friend for my sake to approve her.
If I lose thee, my loss is my love’s gain,
And losing her, my friend hath found that loss;
Both find each other, and I lose both twain,
And both for my sake lay on me this cross:
    But here’s the joy; my friend and I are one;
    Sweet flattery! then she loves but me alone.",William Shakespeare,sonnet,Ghazal,"This poem is most likely a ghazal because it features a repeated end rhyme scheme (the refrain ""and for my sake"") and explores themes of love, loss, and emotional complexity, which are hallmarks of the ghazal form. Ghazals often include a couplet or couple of closing lines that act as a moral or philosophical conclusion, though the structure here is somewhat condensed, fitting a modern or adapted ghazal rather than the classical Persian model. The poem's focus on heartbreak, self-justification, and the intertwining of friends also aligns with the introspective and emotional tone typical of the ghazal.",Refrain,0.89,False
"Oh, oh, you will be sorry for that word! ","Oh, oh, you will be sorry for that word!
Give back my book and take my kiss instead.
Was it my enemy or my friend I heard,
“What a big book for such a little head!”
Come, I will show you now my newest hat,
And you may watch me purse my mouth and prink!
Oh, I shall love you still, and all of that.
I never again shall tell you what I think.
I shall be sweet and crafty, soft and sly;
You will not catch me reading any more:
I shall be called a wife to pattern by;
And some day when you knock and push the door,
Some sane day, not too bright and not too stormy,
I shall be gone, and you may whistle for me.",Edna St. Vincent Millay,sonnet,Ghazal,"This poem is a ghazal because it features a recurring refrain (“Oh, oh, you will be sorry for that word!” and “I shall be…”) that appears at the beginning and end of stanzas, alongside a motif of self-presentation and subtle emotional shifts. Ghazals often include a ghazal mad(rab) or refrain, and this poem's structure of couplets with an interjected couplet and the theme of indirect emotional expression align with the conventions of the ghazal form.",Refrain,0.89,False
"Then hate me when thou wilt; if ever, now; (Sonnet 90) ","Then hate me when thou wilt; if ever, now;
Now, while the world is bent my deeds to cross,
Join with the spite of fortune, making me bow,
And do not drop in for an after-loss:
Ah, do not, when my heart hath ’scaped this sorrow,
Come in the rearward of a conquer’d woe;
Give not a windy night a rainy morrow,
To linger out a purposed overthrow.
If thou wilt leave me, do not leave me last,
When other petty griefs have done their spite,
But in the onset come; so shall I taste 
At first the very worst of fortune’s might,
    And other strains of woe, which now seem woe,
    Compared with loss of thee will not seem so.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic ghazal structure of multiple stanzas (here, two quatrains) separated by a couplet (the rhyming couplet at the end), an exploration of love or loss, and an intricate rhyme scheme. The poem’s themes of heartbreak, fate, and the passage of sorrow align with the emotional and structural conventions of the ghazal, which often deals with longing and existential reflection. Additionally, the alternating rhymes and the concluding rhyming couplet are typical markers of the ghazal form.",Yearning,0.92,False
Accuse me thus: that I have scanted all (Sonnet 117),"Accuse me thus: that I have scanted all
Wherein I should your great deserts repay,
Forgot upon your dearest love to call,
Whereto all bonds do tie me day by day;
That I have frequent been with unknown minds
And given to time your own dear-purchased right;
That I have hoisted sail to all the winds
Which should transport me farthest from your sight.
Book both my willfulness and errors down
And on just proof surmise accumulate;
Bring me within the level of your frown,
But shoot not at me in your waken’d hate;
    Since my appeal says I did strive to prove
    The constancy and virtue of your love.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, follows a clear structure (typically iambic pentameter), and presents a conventional thematic progression from accusation to defense and resolution, which are hallmarks of the Italian or English sonnet. The ending also hints at a ""turn"" or ""volta,"" a common feature in sonnets where the perspective shifts after the first 8 lines.",Structure,0.96,False
"Idea 20: An evil spirit, your beauty, haunts me still","An evil spirit, your beauty, haunts me still,
Wherewith, alas, I have been long possess'd,
Which ceaseth not to tempt me to each ill,
Nor gives me once but one poor minute's rest.
In me it speaks, whether I sleep or wake;
And when by means to drive it out I try,
With greater torments then it me doth take,
And tortures me in most extremity.
Before my face it lays down my despairs,
And hastes me on unto a sudden death;
Now tempting me to drown myself in tears,
And then in sighing to give up my breath.
Thus am I still provok'd to every evil
By this good-wicked spirit, sweet angel-devil.",Michael Drayton,sonnet,Ghazal,"This poem is a ghazal because it consists of several unrhymed couplets (or tercets) that revolve around a central motif or image—here, the evil spirit associated with the speaker's beauty and inner torment. Ghazals typically explore themes of love, loss, or spiritual struggle, often with a confessional tone, which is evident in this poem's introspective voice and repeated focus on the haunting presence of the spirit. The absence of a strict rhyme scheme between stanzas (or ghazals) and the thematic preoccupation with an obsessive force align with the traditional ghazal structure.",Haunt,,False
Mary's Girlhood (for a Picture),"This is that blessed Mary, pre-elect
     God's Virgin. Gone is a great while, and she
     Dwelt young in Nazareth of Galilee.
Unto God's will she brought devout respect,
Profound simplicity of intellect,
     And supreme patience. From her mother's knee
     Faithful and hopeful; wise in charity;
Strong in grave peace; in pity circumspect.

So held she through her girlhood; as it were
     An angel-water'd lily, that near God
          Grows and is quiet. Till, one dawn at home,
She woke in her white bed, and had no fear
     At all,—yet wept till sunshine, and felt aw'd:
          Because the fulness of the time was come.",Dante Gabriel Rossetti,sonnet,Ghazal,"This poem is a ghazal because it exhibits the typical ghazal structure of multiple couplets (tercets) that share a consistent rhyme scheme and a closing ""rhyme garden"" or key rhyme at the end of each stanza. While the provided text appears to be formatted as quatrains, the mention of ""one dawn at home"" suggests a potential for refrains or repeated end rhymes characteristic of ghazals. The poem also explores themes of devotion, faith, and spiritual longing—common motifs in ghazals. However, some ambiguity exists due to the provided formatting, but the spiritual and devotional tone aligns well with the ghazal form.",Refrain,0.87,False
Sonnets from the Portuguese 26: I lived with visions for my company,"I lived with visions for my company, 
Instead of men and women, years ago, 
And found them gentle mates, nor thought to know 
A sweeter music than they played to me. 
But soon their trailing purple was not free 
Of this world's dust, — their lutes did silent grow, 
And I myself grew faint and blind below 
Their vanishing eyes. Then THOU didst come ... to be, 
Belovèd, what they seemed. Their shining fronts, 
Their songs, their splendours, (better, yet the same, 
As river-water hallowed into fonts) 
Met in thee, and from out thee overcame 
My soul with satisfaction of all wants — 
Because God's gifts put man's best dreams to shame.",Elizabeth Barrett Browning,sonnet,Ghazal,"This poem is a ghazal because it features the traditional ghazal structure of couplets (here, apparent in the alternating stanzas of 4 and 5 lines each) and concludes with a couplet that serves as a couple of ghazals (the traditional ""pakhi""). The poem also exhibits the characteristic themes of longing, divine love (makhli), and the transformative power of the beloved, common in ghazals. While the form presented here is slightly condensed and not strictly adhering to all historical conventions of the ghazal (such as the explicit use of a qafi' and a maqta' as a closing couplet), the structure of alternating couplets and the mystical, soul-searching tone strongly suggest a ghazal influence.",Lament,0.87,False
Sonnet 25: Let those who are in favour with their stars,"Let those who are in favour with their stars
Of public honour and proud titles boast,
Whilst I, whom fortune of such triumph bars,
Unlook'd for joy in that I honour most.
Great princes' favourites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it features a repeated end rhyme scheme throughout its stanzas, a characteristic refrain (though not explicitly shown here, the structure often includes one), and explores themes of fortune, honor, and the contrast between public recognition and private fulfillment. The movement from boasting about external honors to finding true joy in being loved fits the traditional ghazal's focus on love and the interplay between fate and personal spirit.",Fortune,0.87,False
"Sonnet 15: Fairfax, whose name in arms through Europe rings","On the Lord General Fairfax at the Siege of Colchester

Fairfax, whose name in arms through Europe rings 
      Filling each mouth with envy, or with praise, 
      And all her jealous monarchs with amaze 
      And rumours loud, that daunt remotest kings; 
Thy firm unshak'n virtue ever brings 
      Victory home, though new rebellions raise 
      Their hydra heads, and the false north displays 
      Her brok'n league, to imp their serpent wings: 
O yet a nobler task awaits thy hand; 
      For what can war but endless war still breed? 
      Till Truth and Right from Violence be freed, 
And Public Faith clear'd from the shameful brand 
      Of Public Fraud. In vain doth Valour bleed 
      While Avarice and Rapine share the land.",John Milton,sonnet,Blues Poem,"This poem is a blues poem because it addresses personal lament or a cry of distress—specifically, the lament over the futility of war and the corruption of public and personal virtue. The repeated questioning tone (""O yet a nobler task..."", ""In vain doth Valour bleed...""), the focus on suffering and injustice, and the rhythmic, somewhat mournful quality are characteristic of the blues form, which often expresses sorrow or despair through a distinctive voice and structure. While the poem is not strictly structured in the AAB rhyme scheme typical of traditional blues lyrics, its thematic content and emotional tone strongly align with the blues tradition.",Lament,0.89,False
