poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence
Sonnet XCI [I can in groups these mimic flowers compose],"Reflections on Some Drawings of Plants

I can in groups these mimic flowers compose,
  These bells and golden eyes, embathed in dew; 
Catch the soft blush that warms the early Rose, 
  Or the pale Iris cloud with veins of blue; 
Copy the scallop’d leaves, and downy stems, 
  And bid the pencil’s varied shades arrest 
Spring’s humid buds, and Summer’s musky gems: 
  But, save the portrait on my bleeding breast, 
I have no semblance of that form adored, 
  That form, expressive of a soul divine, 
  So early blighted, and while life is mine, 
With fond regret, and ceaseless grief deplored— 
  That grief, my angel! with too faithful art 
  Enshrines thy image in thy Mother’s heart. ",Charlotte Smith,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter with a clear rhyme scheme (ABABCDCDEFEFGG). The poem follows the traditional structure and thematic nature of a sonnet, presenting a reflective and emotional narrative. The turn (or ""volta"") is also apparent in the ninth line when the tone shifts toward a deeper and more personal longing for the form ""adored."" Furthermore, terms of grief and unwavering love align with the introspective and poignant tone often associated with sonnets.",Structure,0.97
Chaucer,"Gone are the sensuous stars, and manifold,
Clear sunbeams burst upon the front of night;
Ten thousand swords of azure and of gold
Give darkness to the dark and welcome light;
Across the night of ages strike the gleams,
And leading on the gilded host appears
An old man writing in a book of dreams,
And telling tales of lovers for the years;
Still Troilus hears a voice that whispers, Stay;
In Nature’s garden what a mad rout sings!
Let’s hear these motley pilgrims wile away
The tedious hours with stories of old things;
Or might some shining eagle claim
These lowly numbers for the House of Fame!",Benjamin Brawley,sonnet,Sonnet,"This poem is a sonnet because it follows the structural and thematic conventions of a traditional sonnet. It has 14 lines, adheres to iambic pentameter, and exhibits a clear rhyme scheme (ABABCDCDEFEFGG), which is a hallmark of the Shakespearean sonnet form. The poem also deals with themes of love, time, and the enduring nature of art and storytelling, aligning with the traditional thematic concerns of sonnets. Furthermore, the concluding rhymed couplet provides a poignant resolution, characteristic of this form.",Structure,0.95
A Fixed Idea,"What torture lurks within a single thought
When grown too constant; and however kind,
However welcome still, the weary mind
Aches with its presence. Dull remembrance taught
Remembers on unceasingly; unsought
The old delight is with us but to find
That all recurring joy is pain refined,
Become a habit, and we struggle, caught.
You lie upon my heart as on a nest,
Folded in peace, for you can never know
How crushed I am with having you at rest
Heavy upon my life. I love you so
You bind my freedom from its rightful quest.
In mercy lift your drooping wings and go.",Amy Lowell,sonnet,,,,
Yourself,"’Tis to yourself I speak; you cannot know
Him whom I call in speaking such an one,
For thou beneath the earth lie buried low,
Which he alone as living walks upon;
Thou mayst at times have heard him speak to you,
And often wished perchance that you were he;
And I must ever wish that it were true,
For then thou couldst hold fellowship with me;
But now thou hear’st us talk as strangers, met
Above the room wherein thou liest abed;
A word perhaps loud spoken thou mayst get,
Or hear our feet when heavily they tread;
But he who speaks, or him who’s spoken to,
Must both remain as strangers still to you.",Jones Very,sonnet,,,,
Strikers in Hyde Park,"A woof reversed the fatal shuttles weave, 
How slow! but never once they slip the thread. 
Hither, upon the Georgian idler’s tread, 
Up spacious ways the lindens interleave, 
Clouding the royal air since yester-eve, 
Come men bereft of time and scant of bread, 
Loud, who were dumb, immortal, who were dead, 
Thro’ the cowed world their kingdom to retrieve. 
 
What ails thee, England? Altar, mart, and grange 
Dream of the knife by night; not so, not so 
The clear Republic waits the general throe, 
Along her noonday mountains’ open range. 
God be with both! for one is young to know 
The other’s rote of evil and of change.",Louise Imogen Guiney,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, a defining feature of the sonnet form. It follows a clear rhyme scheme (ABBA ABBA CDCDCD), characteristic of the Petrarchan (or Italian) sonnet. It also contains a thematic division typical of sonnets, with the first eight lines comprising the octave, which introduces the theme (a reflection on societal and historical changes in England), and the final six lines forming the sestet, which provides a form of reflection or resolution. Moreover, the poem employs iambic pentameter, another hallmark of traditional sonnets.",Structure,0.95
Sin of self-love possesseth all mine eye (Sonnet 62),"Sin of self-love possesseth all mine eye
And all my soul and all my every part;
And for this sin there is no remedy,
It is so grounded inward in my heart.
Methinks no face so gracious is as mine,
No shape so true, no truth of such account;
And for myself mine own worth do define,
As I all other in all worths surmount.
But when my glass shows me myself indeed,
Beated and chopp’d with tann’d antiquity,
Mine own self-love quite contrary I read;
Self so self-loving quite contrary I read;
Self so self-loving were iniquity.
    ’Tis thee, myself, that for myself I praise,
    Painting my age with beauty of thy days.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter and adheres to a structured rhyme scheme (ABABCDCDEFEFGG). Additionally, it closely resembles the form and thematic preoccupations of a Shakespearean (or English) sonnet, particularly with its volta (or thematic shift) occurring towards the end, as the speaker transitions from a focus on self-love to admiration and reverence for another.",Structure,0.95
Modern Love: XXXVI,"My Lady unto Madam makes her bow.
The charm of women is, that even while
You’re probed by them for tears you yet may smile,
Nay, laugh outright, as I have done just now.
The interview was gracious: they anoint
(To me aside) each other with fine praise:
Discriminating compliments they raise,
That hit with wondrous aim on the weak point:
My Lady’s nose of Nature might complain.
It is not fashioned aptly to express
Her character of large-browed steadfastness.
But Madam says: ‘Thereof she may be vain!’
Now Madam’s faulty feature is a glazed
And inaccessible eye, that has soft fires,
Wide gates, at love-time only. This admires
My Lady. At the two I stand amazed.",George Meredith,sonnet,Sonnet,"This poem is a sonnet because it is composed of 14 lines, exhibits a controlled rhyme scheme (abab cdcd efef gg), and follows iambic pentameter, which are all hallmarks of a traditional English sonnet. It also features a turn or shift (volta) in its argument or observation, a characteristic of sonnets, particularly at the transition into the couplet. The closing couplet wraps up the poem's exploration of the interplay between the characters' flaws and virtues with a sense of reflection and resolution.",Structure,0.95
A woman’s face with nature’s own hand painted (Sonnet 20),"A woman’s face with nature’s own hand painted,
Hast thou, the master mistress of my passion;
A woman’s gentle heart, but not acquainted
With shifting change, as is false women’s fashion:
An eye more bright than theirs, less false in rolling,
Gilding the object whereupon it gazeth;
A man in hue all ‘hues’ in his controlling,
Which steals men’s eyes and women’s souls amazeth.
And for a woman wert thou first created;
Till Nature, as she wrought thee, fell a-doting,
And by addition me of thee defeated,
By adding one thing to my purpose nothing.
    But since she prick’d thee out for women’s pleasure,
    Mine be thy love and thy love’s use their treasure.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the structural and thematic conventions characteristic of a Shakespearean sonnet. It contains 14 lines written in iambic pentameter with a rhyme scheme of ABABCDCDEFEFGG and a concluding rhyming couplet. Additionally, the poem deals with complex themes of love, beauty, and human duality, which are common in sonnets, especially those by Shakespeare.",Structure,1.0
"Epitaph on the Tombstone of a Child, the Last of Seven that Died Before","This Little, Silent, Gloomy Monument,
Contains all that was sweet and innocent ;
The softest pratler that e'er found a Tongue,
His Voice was Musick and his Words a Song ;
Which now each List'ning Angel smiling hears,
Such pretty Harmonies compose the Spheres;
Wanton as unfledg'd Cupids, ere their Charms
Has learn'd the little arts of doing harms ;
Fair as young Cherubins, as soft and kind,
And tho translated could not be refin'd ;
The Seventh dear pledge the Nuptial Joys had given,
Toil'd here on Earth, retir'd to rest in Heaven ;
Where they the shining Host of Angels fill,
Spread their gay wings before the Throne, and smile.",Aphra Behn,sonnet,Sonnet,"This poem is a sonnet because of its structural and stylistic features. It consists of 14 lines, which is the defining characteristic of a sonnet, and follows a consistent metrical pattern, resembling iambic pentameter. The poem demonstrates a focus on elevated, reflective language, thematic depth (mourning innocence and transcendence to Heaven), and a contemplative tone typical of a sonnet. Additionally, the rhyming couplets at the end align with the traditional finishing of some English sonnets, even though the poem exhibits some variations in rhyme scheme.",Structure,0.85
"That thou hast her, it is not all my grief (Sonnet 42) ","That thou hast her, it is not all my grief,
And yet it may be said I loved her dearly;
That she hath thee, is of my wailing chief,
A loss in love that ouches me more nearly.
Loving offenders, thus I will excuse ye:
Thou dost hove her, because thou know’st I love her;
And for my sake even so doth she abuse me,
Suffering my friend for my sake to approve her.
If I lose thee, my loss is my love’s gain,
And losing her, my friend hath found that loss;
Both find each other, and I lose both twain,
And both for my sake lay on me this cross:
    But here’s the joy; my friend and I are one;
    Sweet flattery! then she loves but me alone.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of 14 lines, is written in iambic pentameter, and follows a recognizable rhyme scheme (ABABCDCDEFEFGG). Additionally, it contains a volta, or thematic shift, near the end, which is a hallmark of sonnets — here, the speaker transitions from despair and loss to an ironic resolution. The elevated, lyrical style and introspective exploration of love, loss, and relationships are also characteristic of sonnets.",Structure,0.98
"Oh, oh, you will be sorry for that word! ","Oh, oh, you will be sorry for that word!
Give back my book and take my kiss instead.
Was it my enemy or my friend I heard,
“What a big book for such a little head!”
Come, I will show you now my newest hat,
And you may watch me purse my mouth and prink!
Oh, I shall love you still, and all of that.
I never again shall tell you what I think.
I shall be sweet and crafty, soft and sly;
You will not catch me reading any more:
I shall be called a wife to pattern by;
And some day when you knock and push the door,
Some sane day, not too bright and not too stormy,
I shall be gone, and you may whistle for me.",Edna St. Vincent Millay,sonnet,Sonnet,"This poem is a sonnet because it conforms to the structural and thematic elements of this verse form. Specifically, the poem has 14 lines and utilizes iambic pentameter, with an ABAB CDCD EFEF GG rhyme scheme, which is characteristic of the English (or Shakespearean) sonnet. The poem also concludes with a rhyming couplet that provides a pointed resolution, which is a classic feature of a sonnet. Additionally, its tone and theme explore personal emotions and relationships—topics traditionally found in sonnets.",Structure,0.98
"Then hate me when thou wilt; if ever, now; (Sonnet 90) ","Then hate me when thou wilt; if ever, now;
Now, while the world is bent my deeds to cross,
Join with the spite of fortune, making me bow,
And do not drop in for an after-loss:
Ah, do not, when my heart hath ’scaped this sorrow,
Come in the rearward of a conquer’d woe;
Give not a windy night a rainy morrow,
To linger out a purposed overthrow.
If thou wilt leave me, do not leave me last,
When other petty griefs have done their spite,
But in the onset come; so shall I taste 
At first the very worst of fortune’s might,
    And other strains of woe, which now seem woe,
    Compared with loss of thee will not seem so.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the structure and characteristics of a Shakespearean sonnet. Specifically, the poem contains 14 lines written in iambic pentameter, with a rhyme scheme that adheres to the Shakespearean format (ABABCDCDEFEFGG). Additionally, the volta, or thematic shift, appears in the final couplet, a hallmark of the Shakespearean sonnet tradition.",Structure,1.0
Accuse me thus: that I have scanted all (Sonnet 117),"Accuse me thus: that I have scanted all
Wherein I should your great deserts repay,
Forgot upon your dearest love to call,
Whereto all bonds do tie me day by day;
That I have frequent been with unknown minds
And given to time your own dear-purchased right;
That I have hoisted sail to all the winds
Which should transport me farthest from your sight.
Book both my willfulness and errors down
And on just proof surmise accumulate;
Bring me within the level of your frown,
But shoot not at me in your waken’d hate;
    Since my appeal says I did strive to prove
    The constancy and virtue of your love.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it has 14 lines written in iambic pentameter, follows a structured rhyme scheme (ABAB CDCD EFEF GG), and concludes with a rhyming couplet that reflects and resolves the themes. The subject matter, a reflective meditation on love, errors, and appeals for understanding, aligns with the traditional themes of sonnets.",Structure,0.98
"Idea 20: An evil spirit, your beauty, haunts me still","An evil spirit, your beauty, haunts me still,
Wherewith, alas, I have been long possess'd,
Which ceaseth not to tempt me to each ill,
Nor gives me once but one poor minute's rest.
In me it speaks, whether I sleep or wake;
And when by means to drive it out I try,
With greater torments then it me doth take,
And tortures me in most extremity.
Before my face it lays down my despairs,
And hastes me on unto a sudden death;
Now tempting me to drown myself in tears,
And then in sighing to give up my breath.
Thus am I still provok'd to every evil
By this good-wicked spirit, sweet angel-devil.",Michael Drayton,sonnet,Sonnet,"This poem is a sonnet because it follows the traditional structure of 14 lines written in iambic pentameter, with a clear rhyme scheme (ABABCDCDEFEFGG). The poem also explores a single theme—the tormenting beauty of the beloved, which aligns with the introspective nature of sonnets. The concluding rhymed couplet (""Thus am I still provok'd to every evil / By this good-wicked spirit, sweet angel-devil."") neatly sums up the meditation, which is characteristic of the Shakespearean or English sonnet form.",Structure,0.95
Mary's Girlhood (for a Picture),"This is that blessed Mary, pre-elect
     God's Virgin. Gone is a great while, and she
     Dwelt young in Nazareth of Galilee.
Unto God's will she brought devout respect,
Profound simplicity of intellect,
     And supreme patience. From her mother's knee
     Faithful and hopeful; wise in charity;
Strong in grave peace; in pity circumspect.

So held she through her girlhood; as it were
     An angel-water'd lily, that near God
          Grows and is quiet. Till, one dawn at home,
She woke in her white bed, and had no fear
     At all,—yet wept till sunshine, and felt aw'd:
          Because the fulness of the time was come.",Dante Gabriel Rossetti,sonnet,Sonnet,"This poem is a sonnet because it has 14 lines, follows a clear iambic pentameter, and utilizes a structured rhyme scheme. The poem is thematically focused on a contemplative meditation on Mary, with a turn (volta) occurring in the final tercet, a hallmark of the sonnet form. Furthermore, the poem's introspective depth and exalted tone align with the traditional purpose of the sonnet in exploring profound themes and emotions.",Structure,0.95
Sonnets from the Portuguese 26: I lived with visions for my company,"I lived with visions for my company, 
Instead of men and women, years ago, 
And found them gentle mates, nor thought to know 
A sweeter music than they played to me. 
But soon their trailing purple was not free 
Of this world's dust, — their lutes did silent grow, 
And I myself grew faint and blind below 
Their vanishing eyes. Then THOU didst come ... to be, 
Belovèd, what they seemed. Their shining fronts, 
Their songs, their splendours, (better, yet the same, 
As river-water hallowed into fonts) 
Met in thee, and from out thee overcame 
My soul with satisfaction of all wants — 
Because God's gifts put man's best dreams to shame.",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in a single stanza, adhering to the structural pattern of a sonnet. Additionally, it follows the traditional use of iambic pentameter (ten syllables per line, alternating stressed and unstressed beats). The rhyme scheme (ABBA ABBA CDCDCD) suggests it is a Petrarchan (Italian) sonnet, where the first eight lines (octave) present an issue or concept, and the final six lines (sestet) resolve or reflect on it. Furthermore, the elevated language and thematic exploration of love, divinity, and human longing are hallmark traits of sonnets.",Structure,0.96
Sonnet 25: Let those who are in favour with their stars,"Let those who are in favour with their stars
Of public honour and proud titles boast,
Whilst I, whom fortune of such triumph bars,
Unlook'd for joy in that I honour most.
Great princes' favourites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it has 14 lines, written in iambic pentameter, and follows a clear structure with a volta (a shift in tone or perspective) near the final lines. The rhyme scheme (ABABCDCDEFEFGG) follows the Shakespearean or English sonnet form, ending with a rhymed couplet that resolves the poem's thematic tension. Its meditative tone on love and fortune aligns with traditional sonnet themes.",Structure,0.98
"Sonnet 15: Fairfax, whose name in arms through Europe rings","On the Lord General Fairfax at the Siege of Colchester

Fairfax, whose name in arms through Europe rings 
      Filling each mouth with envy, or with praise, 
      And all her jealous monarchs with amaze 
      And rumours loud, that daunt remotest kings; 
Thy firm unshak'n virtue ever brings 
      Victory home, though new rebellions raise 
      Their hydra heads, and the false north displays 
      Her brok'n league, to imp their serpent wings: 
O yet a nobler task awaits thy hand; 
      For what can war but endless war still breed? 
      Till Truth and Right from Violence be freed, 
And Public Faith clear'd from the shameful brand 
      Of Public Fraud. In vain doth Valour bleed 
      While Avarice and Rapine share the land.",John Milton,sonnet,Sonnet,"This poem is a sonnet because it adheres to the key structural and thematic elements of the form. It contains 14 lines, a defining feature of sonnets, with a clear iambic pentameter rhythm and a rhyme scheme. The poem also follows the form of the Petrarchan sonnet, with an octave (the first eight lines) presenting a statement or problem and a sestet (the remaining six lines) offering a resolution or reflection. Its elevated subject matter, addressing virtue, war, and moral themes, is highly in line with traditional sonnet topics.",Structure,0.98
My Letters! all dead paper... (Sonnet 28),"My letters! all dead paper, mute and white!
And yet they seem alive and quivering
Against my tremulous hands which loose the string
And let them drop down on my knee tonight.
This said—he wished to have me in his sight
Once, as a friend: this fixed a day in spring
To come and touch my hand. . . a simple thing,
Yes I wept for it—this . . . the paper's light. . .
Said, Dear, I love thee; and I sank and quailed
As if God's future thundered on my past.
This said, I am thine—and so its ink has paled
With lying at my heart that beat too fast.
And this . . . 0 Love, thy words have ill availed
If, what this said, I dared repeat at last!",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, adheres to a consistent iambic pentameter, and has a tightly structured rhyme scheme. Additionally, it explores themes of love, emotional turmoil, and reflection, which are common in sonnets. The volta, or thematic shift, occurs towards the end, where the speaker reflects on the inadequacy of love's words. These features align with the traditional English or Petrarchan sonnet form.",Structure,0.96
Sonnets from the Portuguese  1: I thought once how Theocritus had sung,"I thought once how Theocritus had sung 
Of the sweet years, the dear and wished for years, 
Who each one in a gracious hand appears 
To bear a gift for mortals, old or young: 
And, as I mused it in his antique tongue, 
I saw, in gradual vision through my tears, 
The sweet, sad years, the melancholy years, 
Those of my own life, who by turns had flung 
A shadow across me. Straightway I was 'ware, 
So weeping, how a mystic Shape did move 
Behind me, and drew me backward by the hair, 
And a voice said in mastery, while I strove, ... 
Guess now who holds thee?'—Death,' I said. But there, 
The silver answer rang ... Not Death, but Love.'",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it follows the traditional structure of fourteen lines with a recognizable rhyme scheme (ABBAABBACDCDCD). Additionally, its elevated diction, contemplative tone, and focus on a progression of emotions and reflections, characteristic of sonnets, emphasize the relationship between human experiences (in this case, love and death). The structure also clearly mirrors that of a Petrarchan (or Italian) sonnet, specifically with its division into an octave (lines 1-8) and a sestet (lines 9-14), reflecting a shift in thought or argument between the two parts.",Structure,0.98
"October XXIX, 1795 ","Time sitting on the throne of Memory
Bade all her subject Days, the past had known
Arise and say what thing gave them renown
Unforgetable, ‘Rising from the sea,
I gave the Genoese his dream to be;’
‘I saw the Corsican’s Guards swept down;’
‘Colonies I made free from a tyrant’s crown;’—
So each Day told its immortality.

And with these blazing triumphs spoke one voice
Whose wistful speech no vaunting did employ:
‘I know not if ’twere by Fate’s chance or choice
I hold the lowly birth of an English boy;
I only know he made man’s heart rejoice
Because he played with Beauty for a toy!’",William Stanley Braithwaite,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of a sonnet in terms of form and content. The total number of lines is 14, which is characteristic of sonnets, and it follows an organized rhyme scheme (ABBAABBA for the octave and CDCDCD for the sestet) that aligns with the Petrarchan sonnet form. Additionally, the poem handles a reflective and elevated theme, also a hallmark of sonnets. The volta, or thematic shift, typical of sonnets, occurs between the octave and sestet, transitioning from historical events to a more personal reflection on the legacy of an English boy.",Structure,0.95
Love is my sin and thy dear virtue hate (Sonnet 142),"Love is my sin and thy dear virtue hate,
Hate of my sin, grounded on sinful loving:
O, but with mine compare thou thine own state,
And thou shalt find it merits not reproving;
Or, if it do, not from those lips of thine,
That have profaned their scarlet ornaments 
And seal’d false bonds of love as oft as mine,
Robb’d others’ beds’ revenues of their rents.
Be it lawful I love thee, as thou lovest those 
Whom thine eyes woo as mine importune thee:
Root pity in thy heart, that when it grows
Thy pity may deserve to pitied be.
    If thou dost seek to have what thou dost hide,
    By self-example mayst thou be denied!",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the hallmarks of a Shakespearean sonnet, including 14 lines written in iambic pentameter with a rhyme scheme of ABAB CDCD EFEF GG. The volta, or shift in focus or argument, also occurs in the final rhyming couplet, which is a characteristic feature of a sonnet. Furthermore, the thematic focus on love, moral reflection, and internal conflict aligns with the traditional content of sonnets, particularly those by Shakespeare.",Structure,0.98
