pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
2,adjacent,"i, my",2,1,i,True,3,activities,True,general
3,adjacent,"ghost, i, mother, my, tell, what, whisper",7,10,my mother 's ghost still whispers what i 'm told,True,3,activities,True,general
4,adjacent,,0,0,,False,3,activities,True,general
5,adjacent,"dish, sink, story, unfold",4,8,the dishes in the sink a story unfold,True,3,activities,True,general
6,adjacent,,0,1,a,False,3,activities,True,general
7,adjacent,"bold, grow, hold, love, plate, remnant",6,9,each plate holds remnants of a love grown bold,True,3,activities,True,general
8,adjacent,hold,1,0,,True,3,activities,True,general
9,adjacent,"argument, floor, hold, i, sweep, take",6,8,i sweep the floor where arguments took hold,True,3,activities,True,general
10,adjacent,,0,1,the,False,3,activities,True,general
11,adjacent,"broom, clean, heart, refuse, scold, what",6,10,the broom ca n't clean what hearts refuse to scold,True,3,activities,True,general
12,adjacent,,0,1,the,False,3,activities,True,general
13,first_last,"brew, coffee, cold, fold, i, laundry",6,9,i fold the laundry while the coffee brews cold,True,3,activities,True,general
0,adjacent,"call, i, morning, refuse, rise",5,8,the morning calls but i refuse to rise,True,4,activities,True,figurative
1,adjacent,,0,0,,False,4,activities,True,figurative
2,adjacent,"breaking, hand, praise",3,9,these hands were made for breaking not for praise,True,4,activities,True,figurative
3,adjacent,,0,0,,False,4,activities,True,figurative
4,adjacent,"choreograph, day, failure, i, my",5,6,i choreograph my failures every day,True,4,activities,True,figurative
5,adjacent,my,1,1,my,True,4,activities,True,figurative
6,adjacent,"dance, face, floor, know, my",5,10,the dance floor knows my name but not my face,True,4,activities,True,figurative
7,adjacent,,0,1,name,False,4,activities,True,figurative
8,adjacent,"color, i, paint, that",4,10,i paint with colors that do n't have a name,True,4,activities,True,figurative
9,adjacent,i,1,1,i,True,4,activities,True,figurative
10,adjacent,"brush, i, my, spell, stroke, word",6,10,my brush strokes spell the words i can not say,True,4,activities,True,figurative
11,adjacent,i,1,1,i,True,4,activities,True,figurative
12,adjacent,"call, circle, i, it, race, run",6,8,i run in circles calling it a race,True,4,activities,True,figurative
13,adjacent,,0,0,,False,4,activities,True,figurative
14,adjacent,,0,1,the,False,4,activities,True,figurative
15,first_last,"call, i, morning, refuse, rise",5,8,the morning calls but i refuse to rise,True,4,activities,True,figurative
0,adjacent,"concrete, echo, our, sneaker",4,7,the echoes of our sneakers on concrete,True,5,activities,True,specific
1,adjacent,,0,1,the,False,5,activities,True,specific
2,adjacent,"louder, sermon, speak, street",4,8,speak louder than the sermons down the street,True,5,activities,True,specific
3,adjacent,,0,0,,False,5,activities,True,specific
4,adjacent,"come, home, mother, pray, son, who, will",7,10,where mothers pray for sons who wo n't come home,True,5,activities,True,specific
5,adjacent,,0,0,,False,5,activities,True,specific
6,adjacent,"church, court, cracked, know, we",5,10,this cracked court is the church we 've always known,True,5,activities,True,specific
7,adjacent,,0,0,,False,5,activities,True,specific
8,adjacent,"bear, dribble, freedom, like, sound",5,7,each dribble sounds like freedom being born,True,5,activities,True,specific
9,adjacent,,0,0,,False,5,activities,True,specific
10,adjacent,"chainlink, dawn, fence, rise",4,7,between the chainlink fence and rising dawn,True,5,activities,True,specific
11,adjacent,,0,1,and,False,5,activities,True,specific
12,adjacent,"grace, layup, pain, practice, sweat, we",6,8,we practiced grace through layups sweat and pain,True,5,activities,True,specific
13,adjacent,,0,1,and,False,5,activities,True,specific
14,adjacent,,0,1,the,False,5,activities,True,specific
15,first_last,"concrete, echo, our, sneaker",4,7,the echoes of our sneakers on concrete,True,5,activities,True,specific
0,adjacent,"dissect, heart, i, lab, make, sing, what",7,10,in the lab i dissect what makes the heart sing,True,6,arts & sciences,True,general
1,adjacent,,0,0,,False,6,arts & sciences,True,general
2,adjacent,"capture, fail, formula, love, swing, wild",6,9,each formula fails to capture love 's wild swing,True,6,arts & sciences,True,general
3,adjacent,,0,0,,False,6,arts & sciences,True,general
4,adjacent,"eye, microscope, naked, reveal, what",5,9,the microscope reveals what naked eyes ca n't see,True,6,arts & sciences,True,general
5,adjacent,,0,2,ca n't,True,6,arts & sciences,True,general
6,adjacent,"free, poetry, science, show, that, truth",6,9,but poetry shows truths that science ca n't free,True,6,arts & sciences,True,general
7,adjacent,,0,0,,False,6,arts & sciences,True,general
8,adjacent,"bright, i, laughter, measure, sound, wavelength, your",7,9,i measure wavelengths of your laughter 's bright sound,True,6,arts & sciences,True,general
9,adjacent,,0,0,,False,6,arts & sciences,True,general
10,adjacent,"equation, ground, hold, metaphor, what",5,8,yet metaphors hold what equations ca n't ground,True,6,arts & sciences,True,general
11,adjacent,,0,0,,False,6,arts & sciences,True,general
12,adjacent,"artist, both, chemist, seek, understand",5,8,the artist and chemist both seek to understand,True,6,arts & sciences,True,general
13,adjacent,,0,1,the,False,6,arts & sciences,True,general
14,first_last,"dissect, heart, i, lab, make, sing, what",7,10,in the lab i dissect what makes the heart sing,True,6,arts & sciences,True,general
0,adjacent,"heart, hold, measure, number, what",5,8,the heart measures what numbers can not hold,True,7,arts & sciences,True,figurative
1,adjacent,,0,0,,False,7,arts & sciences,True,figurative
2,adjacent,"cold, grow, laboratory, poetry",4,5,in laboratories poetry grows cold,True,7,arts & sciences,True,figurative
3,adjacent,,0,0,,False,7,arts & sciences,True,figurative
4,adjacent,"control, dance, equation, passion, take",5,7,yet equations dance when passion takes control,True,7,arts & sciences,True,figurative
5,adjacent,,0,0,,False,7,arts & sciences,True,figurative
6,adjacent,"artist, glimpse, microscope, soul, we",5,8,through microscopes we glimpse the artist 's soul,True,7,arts & sciences,True,figurative
7,adjacent,,0,1,'s,False,7,arts & sciences,True,figurative
8,adjacent,"end, goal, imagination, logic",4,6,where logic ends imagination 's goal,True,7,arts & sciences,True,figurative
9,adjacent,,0,0,,False,7,arts & sciences,True,figurative
10,adjacent,"begin, brush, know, mapping, stroke, we, what",7,8,begins with brush strokes mapping what we know,True,7,arts & sciences,True,figurative
11,adjacent,,0,0,,False,7,arts & sciences,True,figurative
12,adjacent,"grow, help, language, that",4,7,two languages that help each other grow,True,7,arts & sciences,True,figurative
13,adjacent,,0,0,,False,7,arts & sciences,True,figurative
14,first_last,"heart, hold, measure, number, what",5,8,the heart measures what numbers can not hold,True,7,arts & sciences,True,figurative
0,adjacent,"eye, naked, refuse, reveal, telescope, what",6,9,the telescope reveals what naked eyes refuse to see,True,8,arts & sciences,True,specific
1,adjacent,,0,1,the,False,8,arts & sciences,True,specific
2,adjacent,"away, comfortable, lie, need, science, strip, we",7,8,science strips away the comfortable lies we need,True,8,arts & sciences,True,specific
3,adjacent,,0,1,the,False,8,arts & sciences,True,specific
4,adjacent,"feel, hold, i, number, weight, wonder",6,11,numbers can not hold the weight of wonder that i feel,True,8,arts & sciences,True,specific
5,adjacent,,0,2,can not,True,8,arts & sciences,True,specific
6,adjacent,"art, equation, give, heal, shape, truth",6,11,art gives shape to all the truths equations can not heal,True,8,arts & sciences,True,specific
7,adjacent,,0,1,the,False,8,arts & sciences,True,specific
8,adjacent,"beneath, dome, doubt, meet, my, stand, starlight",7,10,standing here beneath the dome where starlight meets my doubt,True,8,arts & sciences,True,specific
9,adjacent,,0,1,the,False,8,arts & sciences,True,specific
10,adjacent,"both, cry, distance, i, it, measure, need",7,12,i measure both the distance and the need to cry it out,True,8,arts & sciences,True,specific
11,adjacent,,0,1,the,False,8,arts & sciences,True,specific
12,adjacent,"cosmos, detect, frequency, instrument, my, sing",6,8,the cosmos sings in frequencies my instruments detect,True,8,arts & sciences,True,specific
13,adjacent,,0,1,the,False,8,arts & sciences,True,specific
14,adjacent,what,1,1,what,True,8,arts & sciences,True,specific
15,first_last,"eye, naked, refuse, reveal, telescope, what",6,9,the telescope reveals what naked eyes refuse to see,True,8,arts & sciences,True,specific
0,adjacent,"cross, feel, heavy, i, sunday, wear",6,8,the cross i wear feels heavier each sunday,True,9,christianity,True,general
1,adjacent,,0,0,,False,9,christianity,True,general
2,adjacent,"burden, grow, prayer, whisper",4,7,this burden grows with every whispered prayer,True,9,christianity,True,general
3,adjacent,,0,0,,False,9,christianity,True,general
4,adjacent,"i, kneel, long, what",4,8,i kneel before what i no longer see,True,9,christianity,True,general
5,adjacent,,0,0,,False,9,christianity,True,general
6,adjacent,"bread, communion, faith, fracture, hand, like",6,7,faith fractures like communion bread in hand,True,9,christianity,True,general
7,adjacent,,0,1,in,False,9,christianity,True,general
8,adjacent,"doubt, hollow, hymn, my, sound, throat",6,8,the hymns sound hollow in my doubting throat,True,9,christianity,True,general
9,adjacent,,0,1,in,False,9,christianity,True,general
10,adjacent,"glass, god, i, search, silence, stained",6,9,i search for god in stained glass and silence,True,9,christianity,True,general
11,adjacent,,0,1,in,False,9,christianity,True,general
12,adjacent,"echo, mother, my, prayer, wall",5,9,my mother 's prayers still echo in these walls,True,9,christianity,True,general
13,adjacent,,0,1,in,False,9,christianity,True,general
14,adjacent,i,1,1,i,True,9,christianity,True,general
15,first_last,"cross, feel, heavy, i, sunday, wear",6,8,the cross i wear feels heavier each sunday,True,9,christianity,True,general
0,adjacent,"altar, doubt, i, kneel",4,8,i kneel before this altar made of doubt,True,10,christianity,True,figurative
1,adjacent,,0,0,,False,10,christianity,True,figurative
2,adjacent,"beneath, knee, know, my, prayer, wood",6,8,the wood beneath my knees knows every prayer,True,10,christianity,True,figurative
3,adjacent,,0,0,,False,10,christianity,True,figurative
4,adjacent,"air, answer, silence",3,7,yet silence answers back with empty air,True,10,christianity,True,figurative
5,adjacent,,0,0,,False,10,christianity,True,figurative
6,adjacent,"fold, habit, hand, memory, muscle, my",6,8,my hands still fold from habit muscle memory,True,10,christianity,True,figurative
7,adjacent,,0,0,,False,10,christianity,True,figurative
8,adjacent,"faith, like, old, tapestry, unravel",5,6,while faith unravels like old tapestry,True,10,christianity,True,figurative
9,adjacent,like,1,1,like,True,10,christianity,True,figurative
10,adjacent,"hymn, i, like, lullaby, sing, sound",6,8,the hymns i sang now sound like lullabies,True,10,christianity,True,figurative
11,adjacent,,0,1,the,False,10,christianity,True,figurative
12,adjacent,"child, comfort, frighten, lie",4,7,to comfort children frightened by the lies,True,10,christianity,True,figurative
13,adjacent,,0,0,,False,10,christianity,True,figurative
14,first_last,"altar, doubt, i, kneel",4,8,i kneel before this altar made of doubt,True,10,christianity,True,figurative
0,adjacent,"angel, construction, fly, learn, paper",5,8,the construction paper angels never learned to fly,True,11,christianity,True,specific
1,adjacent,,0,0,,False,11,christianity,True,specific
2,adjacent,"cut, hand, lie, mary, sister, steady",6,10,sister mary 's steady hands could cut through any lie,True,11,christianity,True,specific
3,adjacent,,0,1,through,False,11,christianity,True,specific
4,adjacent,"chapel, creep, door, doubt, like, winter",6,10,but doubt crept in like winter through the chapel door,True,11,christianity,True,specific
5,adjacent,,0,1,the,False,11,christianity,True,specific
6,adjacent,"finger, hymnal, my, small, something, trace, want",7,9,my small fingers traced the hymnal wanting something more,True,11,christianity,True,specific
7,adjacent,,0,1,the,False,11,christianity,True,specific
8,adjacent,"catch, cross, golden, light, morning, we",6,9,the golden cross above us caught the morning light,True,11,christianity,True,specific
9,adjacent,,0,1,the,False,11,christianity,True,specific
10,adjacent,"bright, burn, faith, fill, pew, shadow",6,10,yet shadows filled the pews where faith should burn bright,True,11,christianity,True,specific
11,adjacent,,0,0,,False,11,christianity,True,specific
12,adjacent,"fold, i, lift, my, paper, prayer, that, wing",8,10,i folded paper wings that would not lift my prayer,True,11,christianity,True,specific
13,adjacent,paper,1,1,paper,True,11,christianity,True,specific
14,first_last,"angel, construction, fly, learn, paper",5,8,the construction paper angels never learned to fly,True,11,christianity,True,specific
0,adjacent,"body, keep, learn, my, read, secret",6,4,my body keeps secrets,True,12,chronic illness,True,general
1,adjacent,,0,0,,False,12,chronic illness,True,general
2,adjacent,"language, louder, pain, speak, that, word",6,9,the language of pain that speaks louder than words,True,12,chronic illness,True,general
3,adjacent,,0,0,,False,12,chronic illness,True,general
4,adjacent,"familiar, harsh, mother, my, tongue",5,7,becomes my mother tongue harsh and familiar,True,12,chronic illness,True,general
5,adjacent,,0,1,and,False,12,chronic illness,True,general
6,adjacent,"dialect, doctor, room, wait",4,7,this dialect of doctors and waiting rooms,True,12,chronic illness,True,general
7,adjacent,,0,1,and,False,12,chronic illness,True,general
8,adjacent,"bad, carry, coat, hope, news, wear, white",7,10,where hope wears a white coat and carries bad news,True,12,chronic illness,True,general
9,adjacent,,0,0,,False,12,chronic illness,True,general
10,adjacent,"art, flare, i, live, practice",5,8,i practice the art of living between flares,True,12,chronic illness,True,general
11,adjacent,,0,0,,False,12,chronic illness,True,general
12,adjacent,"coin, count, day, good, like, my, pocket",7,8,counting good days like coins in my pocket,True,12,chronic illness,True,general
13,adjacent,my,1,1,my,True,12,chronic illness,True,general
14,first_last,"body, i, keep, learn, my, read, secret",7,10,my body keeps secrets i 'm still learning to read,True,12,chronic illness,True,general
0,adjacent,"body, i, keep, learn, my, read, secret",7,9,my body keeps secrets i 'm learning to read,True,13,chronic illness,True,figurative
1,adjacent,i,1,1,i,True,13,chronic illness,True,figurative
2,adjacent,"heal, i, morning, sleep, translate, what",6,9,each morning i translate what sleep could n't heal,True,13,chronic illness,True,figurative
3,adjacent,i,1,1,i,True,13,chronic illness,True,figurative
4,adjacent,"i, mirror, reflect, someone",4,8,the mirror reflects someone i used to be,True,13,chronic illness,True,figurative
5,adjacent,i,1,1,i,True,13,chronic illness,True,figurative
6,adjacent,"day, friend, future, i, my, plan, their",7,10,my friends plan their futures while i plan my day,True,13,chronic illness,True,figurative
7,adjacent,my,1,1,my,True,13,chronic illness,True,figurative
8,adjacent,"cabinet, know, medicine, my, name",5,7,the medicine cabinet knows all my names,True,13,chronic illness,True,figurative
9,adjacent,my,1,1,the,True,13,chronic illness,True,figurative
10,adjacent,"i, measure, my, small, strength, thing",6,9,i measure my strength in the smallest of things,True,13,chronic illness,True,figurative
11,adjacent,,0,0,,False,13,chronic illness,True,figurative
12,adjacent,"battle, fight",2,9,some battles are fought where no one can see,True,13,chronic illness,True,figurative
13,adjacent,,0,0,,False,13,chronic illness,True,figurative
14,first_last,"body, i, keep, learn, my, read, secret",7,9,my body keeps secrets i 'm learning to read,True,13,chronic illness,True,figurative
0,adjacent,"compartment, hold, plastic, week",4,6,the plastic compartments hold another week,True,14,chronic illness,True,specific
1,adjacent,,0,0,,False,14,chronic illness,True,specific
2,adjacent,"day, divide, morning, night",4,6,each day divided into morning night,True,14,chronic illness,True,specific
3,adjacent,,0,0,,False,14,chronic illness,True,specific
4,adjacent,"hurt, measure, time, what",4,9,as if time could be measured by what hurts,True,14,chronic illness,True,specific
5,adjacent,,0,0,,False,14,chronic illness,True,specific
6,adjacent,"bead, capsule, count, i, like, rosary",6,7,i count out capsules like rosary beads,True,14,chronic illness,True,specific
7,adjacent,,0,0,,False,14,chronic illness,True,specific
8,adjacent,"body, prayer, revolt, small",4,8,small prayers to keep the body from revolt,True,14,chronic illness,True,specific
9,adjacent,,0,1,the,False,14,chronic illness,True,specific
10,adjacent,"chemistry, hop, ritual, work",4,6,the ritual of hoping chemistry works,True,14,chronic illness,True,specific
11,adjacent,,0,1,the,False,14,chronic illness,True,specific
12,adjacent,"experiment, fail, well",3,6,better than the last failed experiment,True,14,chronic illness,True,specific
13,adjacent,,0,1,the,False,14,chronic illness,True,specific
14,first_last,"compartment, hold, plastic, week",4,6,the plastic compartments hold another week,True,14,chronic illness,True,specific
0,adjacent,"echo, fade, fall, gavel",4,7,the gavel falls but echoes never fade,True,15,crime & punishment,True,general
1,adjacent,,0,1,the,False,15,crime & punishment,True,general
2,adjacent,"carve, mother, my, old, tear, trail",6,10,my mother 's tears still carve the same old trails,True,15,crime & punishment,True,general
3,adjacent,,0,0,,False,15,crime & punishment,True,general
4,adjacent,"bar, cost, count, freedom, i, what",6,8,behind these bars i count what freedom costs,True,15,crime & punishment,True,general
5,adjacent,,0,0,,False,15,crime & punishment,True,general
6,adjacent,"bright, burn, my, victim",4,9,the victim 's name burns brighter than my own,True,15,crime & punishment,True,general
7,adjacent,,0,0,,False,15,crime & punishment,True,general
8,adjacent,"letter, redemption, send, sleep",4,6,redemption sleeps in letters never sent,True,15,crime & punishment,True,general
9,adjacent,,0,0,,False,15,crime & punishment,True,general
10,adjacent,"broken, build, society, trust, wall",5,6,society builds walls from broken trust,True,15,crime & punishment,True,general
11,adjacent,,0,0,,False,15,crime & punishment,True,general
12,adjacent,"gold, guilt, i, like, my, shackle, wear",7,9,i wear my guilt like shackles made of gold,True,15,crime & punishment,True,general
13,adjacent,,0,1,of,False,15,crime & punishment,True,general
14,adjacent,"justice, pay, scale, those, tip, who",6,9,the scales of justice tip toward those who pay,True,15,crime & punishment,True,general
15,adjacent,,0,0,,False,15,crime & punishment,True,general
16,adjacent,"believe, change, i, pass, year",5,9,ten years have passed since i believed in change,True,15,crime & punishment,True,general
17,adjacent,,0,0,,False,15,crime & punishment,True,general
18,adjacent,"door, iron, mercy, wait",4,7,yet mercy waits beyond this iron door,True,15,crime & punishment,True,general
19,adjacent,,0,0,,False,15,crime & punishment,True,general
20,first_last,"echo, fade, fall, gavel",4,7,the gavel falls but echoes never fade,True,15,crime & punishment,True,general
0,adjacent,"chest, echo, guilty, my, verdict",5,7,the guilty verdict echoes in my chest,True,16,crime & punishment,True,figurative
1,adjacent,,0,0,,False,16,crime & punishment,True,figurative
2,adjacent,"i, let, like, mother, rest, that, voice",7,9,like mother 's voice that never let me rest,True,16,crime & punishment,True,figurative
3,adjacent,i,1,0,,True,16,crime & punishment,True,figurative
4,adjacent,"carve, deep, forget, groove, her, i, warning",7,9,her warnings carved deep grooves i ca n't forget,True,16,crime & punishment,True,figurative
5,adjacent,i,1,1,i,True,16,crime & punishment,True,figurative
6,adjacent,"i, learn, lesson, scar",4,9,each scar a lesson i have not learned yet,True,16,crime & punishment,True,figurative
7,adjacent,i,1,1,i,True,16,crime & punishment,True,figurative
8,adjacent,"i, mirror, refuse, show, what",5,8,the mirror shows what i refuse to see,True,16,crime & punishment,True,figurative
9,adjacent,,0,0,,False,16,crime & punishment,True,figurative
10,adjacent,"damn, his, hold, key, prisoner, who",6,8,a prisoner who holds his own damn key,True,16,crime & punishment,True,figurative
11,adjacent,,0,0,,False,16,crime & punishment,True,figurative
12,adjacent,"fear, feel, freedom, like, thing",5,9,but freedom feels like one more thing to fear,True,16,crime & punishment,True,figurative
13,adjacent,,0,0,,False,16,crime & punishment,True,figurative
14,first_last,"chest, echo, guilty, my, verdict",5,7,the guilty verdict echoes in my chest,True,16,crime & punishment,True,figurative
0,adjacent,"chest, fall, gavel, like, my, thunder",6,8,the gavel falls like thunder in my chest,True,17,crime & punishment,True,specific
1,adjacent,my,1,1,the,True,17,crime & punishment,True,specific
2,adjacent,"father, fist, kitchen, my, wall",5,8,my father 's fist against the kitchen wall,True,17,crime & punishment,True,specific
3,adjacent,,0,0,,False,17,crime & punishment,True,specific
4,adjacent,"bloody, glove, i, justice, teach, wear",6,8,taught me that justice wears a bloody glove,True,17,crime & punishment,True,specific
5,adjacent,i,1,0,,True,17,crime & punishment,True,specific
6,adjacent,"i, learn, raw, swallow, verdict",5,8,i learned to swallow verdicts whole and raw,True,17,crime & punishment,True,specific
7,adjacent,,0,0,,False,17,crime & punishment,True,specific
8,adjacent,"heart, her, mother, piece, sweep",5,8,while mother swept the pieces of her heart,True,17,crime & punishment,True,specific
9,adjacent,,0,1,the,False,17,crime & punishment,True,specific
10,adjacent,"break, glass, i, memorize, sound",5,7,i memorized the sound of breaking glass,True,17,crime & punishment,True,specific
11,adjacent,,0,0,,False,17,crime & punishment,True,specific
12,adjacent,"call, it, love, something",4,9,and called it love then called it something else,True,17,crime & punishment,True,specific
13,adjacent,,0,0,,False,17,crime & punishment,True,specific
14,first_last,"chest, fall, gavel, like, my, thunder",6,8,the gavel falls like thunder in my chest,True,17,crime & punishment,True,specific
0,adjacent,"beg, it, keep, turn, we, wheel",6,9,the wheel keeps turning though we beg it still,True,18,cycles,True,general
1,adjacent,,0,0,,False,18,cycles,True,general
2,adjacent,"fulfill, promise, season, what",4,6,each season promises what none fulfill,True,18,cycles,True,general
3,adjacent,,0,0,,False,18,cycles,True,general
4,adjacent,"anger, i, inside, live, mother, my",6,8,my mother 's anger lives inside me now,True,18,cycles,True,general
5,adjacent,my,1,1,my,True,18,cycles,True,general
6,adjacent,"brow, fall, furrowed, my, sharp, word",6,9,the same sharp words fall from my furrowed brow,True,18,cycles,True,general
7,adjacent,,0,1,the,False,18,cycles,True,general
8,adjacent,"bind, break, chain, i, she, swear, that, tight",8,11,i swore i 'd break the chain that bound her tight,True,18,cycles,True,general
9,adjacent,i,1,1,i,True,18,cycles,True,general
10,adjacent,"i, repeat, slight",3,7,yet here i am repeating every slight,True,18,cycles,True,general
11,adjacent,,0,0,,False,18,cycles,True,general
12,adjacent,,0,0,,False,18,cycles,True,general
13,first_last,"beg, it, keep, turn, we, wheel",6,9,the wheel keeps turning though we beg it still,True,18,cycles,True,general
0,adjacent,"beg, it, keep, stop, turn, we, wheel",7,9,the wheel keeps turning though we beg it stop,True,19,cycles,True,figurative
1,adjacent,,0,0,,False,19,cycles,True,figurative
2,adjacent,"hand, like, mother, my, shake",5,9,my mother 's hands now shake like hers before,True,19,cycles,True,figurative
3,adjacent,,0,0,,False,19,cycles,True,figurative
4,adjacent,"blood, inherit, travel, we, what",5,7,what we inherit travels through the blood,True,19,cycles,True,figurative
5,adjacent,,0,1,the,False,19,cycles,True,figurative
6,adjacent,"generation, old, wear, wound",4,7,each generation wears the same old wounds,True,19,cycles,True,figurative
7,adjacent,,0,1,the,False,19,cycles,True,figurative
8,adjacent,"brand, break, i, new, pattern, swear",6,10,i swore i 'd break the pattern be brand new,True,19,cycles,True,figurative
9,adjacent,i,1,1,i,True,19,cycles,True,figurative
10,adjacent,"her, i, mistake, repeat",4,7,but here i am repeating her mistakes,True,19,cycles,True,figurative
11,adjacent,her,1,1,her,True,19,cycles,True,figurative
12,adjacent,"face, her, inside, mirror, my, show",6,8,the mirror shows her face inside my own,True,19,cycles,True,figurative
13,adjacent,,0,0,,False,19,cycles,True,figurative
14,adjacent,we,1,1,we,True,19,cycles,True,figurative
15,first_last,"beg, it, keep, stop, turn, we, wheel",7,9,the wheel keeps turning though we beg it stop,True,19,cycles,True,figurative
0,adjacent,"clothe, endlessly, grief, soap, spin",5,8,the clothes spin endlessly through soap and grief,True,20,cycles,True,specific
1,adjacent,,0,0,,False,20,cycles,True,specific
2,adjacent,"dress, her, hold, lavender, mother, my",6,8,my mother 's dress still holds her lavender,True,20,cycles,True,specific
3,adjacent,my,1,1,my,True,20,cycles,True,specific
4,adjacent,"cotton, face, i, lie, my, press",6,8,i press my face against the cotton lies,True,20,cycles,True,specific
5,adjacent,my,1,1,my,True,20,cycles,True,specific
6,adjacent,"breath, closet, echo, her, my",5,7,her empty closet echoes with my breath,True,20,cycles,True,specific
7,adjacent,,0,1,with,False,20,cycles,True,specific
8,adjacent,"basket, death, laundry, overflow",4,6,but laundry baskets overflow with death,True,20,cycles,True,specific
9,adjacent,,0,0,,False,20,cycles,True,specific
10,adjacent,"fold, her, i, nightgown, perfect, square",6,7,i fold her nightgowns into perfect squares,True,20,cycles,True,specific
11,adjacent,,0,0,,False,20,cycles,True,specific
12,adjacent,"arrange, nothing, sorrow, spill, stay",5,7,though nothing stays arranged when sorrow spills,True,20,cycles,True,specific
13,adjacent,,0,0,,False,20,cycles,True,specific
14,first_last,"clothe, endlessly, grief, soap, spin",5,8,the clothes spin endlessly through soap and grief,True,20,cycles,True,specific
0,adjacent,"burn, heart, house, my, that",5,10,my heart 's a house that 's always burning down,True,21,desire & passion,True,general
