subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
christianity,True,figurative,"The light through stained glass fell on my tilted face.  
Its colors burned like wounds I dared not name.  

Its colors burned like wounds I dared not name,  
Each hue a heavy burden we called grace.  

Each hue a heavy burden we called grace,  
A choir of doubt that echoed in my chest.  

A choir of doubt that echoed in my chest—  
Their songs of praise left every question pressed.  

Their songs of praise left every question pressed,  
Yet silence carved the altar of my heart.  

Yet silence carved the altar of my heart,  
Each word I spoke became a work of art.  

Each word I spoke became a work of art;  
The light through stained glass fell on my tilted face.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 6 0 0 0 0 0 0 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.49,0.53,0.39,0.32,0.52,0.45
christianity,True,specific,"The cross above my father’s bed hangs low.  
Its shadow bends like prayers we’ve never said.  

Its shadow bends like prayers we’ve never said,  
Muted as whispers in a room of doubt.  

Muted as whispers in a room of doubt,  
Faith trembles where the wallpaper peels back.  

Faith trembles where the wallpaper peels back,  
Revealing cracks that time has failed to fill.  

Revealing cracks that time has failed to fill,  
I trace the wood-grain—splinters bite my palm.  

I trace the wood-grain—splinters bite my palm—  
His stillness feels like scripture breaking open.  

His stillness feels like scripture breaking open:  
The cross above my father’s bed hangs low.  ","[2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.48,0.52,0.42,0.36,0.49,0.46
chronic illness,True,general,"Pain blooms at dawn like an unwanted guest,  
The body betrays what the heart knows best.  

The body betrays what the heart knows best—  
A quiet war, though I beg it to rest.  

A quiet war, though I beg it to rest,  
Each breath an ache, each step a test.  

Each breath an ache, each step a test,  
The days stack heavy, yet I'm still obsessed.  

The days stack heavy, yet I'm still obsessed—  
To find some solace in what's repressed.  

To find some solace in what's repressed,  
I hold tight to hope like a whispered jest.  

I hold tight to hope like a whispered jest,  
Pain blooms at dawn like an unwanted guest.  ","[0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 2 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
 0 0 0 0 0]",0.17,0.39,0.45,0.3,0.24,0.31
chronic illness,True,figurative,"I wake to the weight of a thousand stones.  
This body, a house, resists its own spine.  

This body, a house, resists its own spine,  
The walls bend inward; the floors crack with time.  

The walls bend inward; the floors crack with time,  
Each breath a trespass, the air tastes of rust.  

Each breath a trespass, the air tastes of rust;  
No one warns you that mornings betray trust.  

No one warns you that mornings betray trust,  
That light splits the seams you’ve sewn in the dark.  

That light splits the seams you’ve sewn in the dark—  
A quiet war fought beneath tender marks.  

A quiet war fought beneath tender marks,  
I wake to the weight of a thousand stones.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  4  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  4 12  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  4  0  0  0]",0.29,0.57,0.41,0.42,0.4,0.42
chronic illness,True,specific,"The pillbox rattles softly in my hands,  
A hard hymn that sings my breaking in shards.  

A hard hymn that sings my breaking in shards,  
Each capsule a prayer, a weight I must guard.  

Each capsule a prayer, a weight I must guard,  
Morning light pools where my will feels so barred.  

Morning light pools where my will feels so barred,  
The bed an ocean pulling me backward.  

The bed an ocean pulling me backward,  
I drift toward a surface I’ve long since marred.  

I drift toward a surface I’ve long since marred,  
Each dose a map of wounds I can’t discard.  

Each dose a map of wounds I can’t discard—  
The pillbox rattles softly in my hands.  ","[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.46,0.49,0.41,0.41,0.48,0.45
crime & punishment,True,general,"The gavel falls, a thunder no one can flee.  
A weight of silence presses where sins once stood.  

A weight of silence presses where sins once stood,  
Like ghosts that haunt the corridors of the soul.  

Like ghosts that haunt the corridors of the soul,  
Guilt carves its lines, a chisel shaping stone.  

Guilt carves its lines, a chisel shaping stone,  
Each crack revealing wounds too slow to heal.  

Each crack revealing wounds too slow to heal,  
The sentence lingers longer than the crime.  

The sentence lingers longer than the crime,  
Time scrapes its nails against the edges of loss.  

Time scrapes its nails against the edges of loss,  
While hope grows dim, a flame behind the bars.  

The gavel falls, a thunder no one can flee.  ","[ 0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  1  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  6  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  2 13  0  0  0  0  0  2  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.3,0.59,0.42,0.33,0.45,0.42
crime & punishment,True,figurative,"The gavel strikes, and silence holds the room.  
A hand is trembling, grasping what it can.  

A hand is trembling, grasping what it can—  
The weight of what is owed consumes the air.  

The weight of what is owed consumes the air,  
And justice wears a mask of borrowed light.  

And justice wears a mask of borrowed light,  
Its shadow stretches longer than the sin.  

Its shadow stretches longer than the sin—  
A chain too cold to break, too sharp to bear.  

A chain too cold to break, too sharp to bear—  
The plea is met with echoes in the dark.  

The plea is met with echoes in the dark,  
No hand to lift the burden still falls down.  

The gavel strikes, and silence holds the room.  ","[ 0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  2  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  6  0  2  2  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0 15  0  0  0  0  0  5  4  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  2  0  0  0  0  0]",0.32,0.6,0.43,0.41,0.43,0.44
crime & punishment,True,specific,"The cell at dusk hums low, a broken refrain.  
A hymn of rusted bars and mournful steel.  

A hymn of rusted bars and mournful steel,  
The echoes linger like the breath of guilt.  

The echoes linger like the breath of guilt—  
A clock that ticks but never moves ahead.  

A clock that ticks but never moves ahead,  
Each second nails the coffin of regret.  

Each second nails the coffin of regret,  
The moonlight carves the walls with crooked truth.  

The moonlight carves the walls with crooked truth,  
And shadows weigh as much as crimes confessed.  

And shadows weigh as much as crimes confessed—  
The cell at dusk hums low, a broken refrain.  ","[ 0  0  0  0  0  0  0  4  0  0  4  2  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 12  0  0  0  0  0  0  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0]",0.34,0.57,0.36,0.35,0.49,0.42
cycles,True,general,"The moon returns to cast her silver song.  
A light too soft to stay where shadows cling.  

A light too soft to stay where shadows cling,  
Still trembling, lost, yet seeking something whole.  

Still trembling, lost, yet seeking something whole,  
Our hands reach out to touch what won’t remain.  

Our hands reach out to touch what won’t remain,  
Grasping echoes caught by time, then undone.  

Grasping echoes caught by time, then undone,  
We stain the earth with footprints of return.  

We stain the earth with footprints of return,  
Repeating paths we swore we’d never trace.  

Repeating paths we swore we’d never trace,  
The moon returns to cast her silver song.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 4 0 0 0 0 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 2 0 2
 0 0 0 0 0]",0.17,0.31,0.39,0.29,0.32,0.3
cycles,True,figurative,"The sun returns to wake what the night undid.  
Its fingers trace the silence where dreams once stayed.  

Its fingers trace the silence where dreams once stayed,  
And darkness folds into dim light's careless robe.  

And darkness folds into dim light's careless robe,  
Unraveling what seemed eternal in the dusk.  

Unraveling what seemed eternal in the dusk,  
We rise again beneath a sky that drains like floods.  

We rise again beneath a sky that drains like floods,  
Each breath reshaped by hurts we've carried into dawn.  

Each breath reshaped by hurts we've carried into dawn,  
Yet every scar bears whispers of its stubborn song.  

Yet every scar bears whispers of its stubborn song—  
The sun returns to wake what the night undid.  ","[0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 2 8 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 2 0 0
 0 0 0 0 0]",0.3,0.45,0.4,0.37,0.4,0.38
